1,2,3,4,5
0.035019802,0.111001012,0.090517175,0.105838042,0.65762397
0.034161995,0.181193612,0.046563454,0.730743591,0.007337349
0.044879149,0.737026093,0.078902424,0.139192335,0
0.087771907,0.242745416,0.459701048,0.209781629,0
0.652201939,0.214155213,0.055278605,0.06444395,0.013920293
0.109522574,0.328217954,0.130495559,0.43170491,5.90E-05
0.059944551,0.369669219,0.195767758,0.240887472,0.133731
0.09493375,0.564431042,0.137064956,0.164240918,0.039329334
0.280957379,0.285957263,0.386149291,0.046936068,0
0.392618413,0.457504719,0.081800463,0.068076404,0
