,BaseGeneMean,is_outlier,outlier_ratio,gene_mean,prog_gene,prog_genemean,group1_DEratio,group1_genemean,group2_DEratio,group2_genemean,group3_DEratio,group3_genemean,group4_DEratio,group4_genemean,group5_DEratio,group5_genemean,group6_DEratio,group6_genemean,group7_DEratio,group7_genemean,group8_DEratio,group8_genemean,group9_DEratio,group9_genemean,group10_DEratio,group10_genemean
Gene1,0.0448876219260228,False,1.0,0.0448876219260228,False,0.0448876219260228,5.141419791484483,0.23078610776312647,1.0,0.0448876219260228,2.380356038317792,0.10684852189733449,2.052370094404334,0.09212601284989747,2.190457925310165,0.09832444719618297,7.755024058710494,0.3481045879746075,1.0,0.0448876219260228,1.0,0.0448876219260228,5.471416349023929,0.24559886847484616,4.888061768909489,0.2194134686338554
Gene2,0.05009229090003441,False,1.0,0.05009229090003441,False,0.05009229090003441,1.0,0.05009229090003441,2.570174115718959,0.1287459094683328,1.0645632922176653,0.05332641411526563,2.7625026952249643,0.13838008862133802,1.8051619354289226,0.09042469679117472,5.739481958963006,0.2875037999038743,11.883822487134301,0.5952878930299019,3.3214265713506714,0.16637786601520174,1.0,0.05009229090003441,1.0,0.05009229090003441
Gene3,0.002203138643891829,False,1.0,0.002203138643891829,False,0.002203138643891829,2.969821148045237,0.006542927736705659,3.3198850283377053,0.007314166999208719,1.5251107776744046,0.0033600304905104005,1.0,0.002203138643891829,1.0,0.002203138643891829,2.8436397633062187,0.006264932651847344,5.2464301169999095,0.01155861293324043,5.077617699074224,0.011186695771739537,2.915081986381513,0.006422329774310067,1.0,0.002203138643891829
Gene4,8.406619944160513e-07,False,1.0,8.406619944160513e-07,False,8.406619944160513e-07,10.42911386863295,8.767359664797076e-06,1.5692931824605347,1.3192451365907854e-06,5.410760719864174,4.548620898069046e-06,2.9127581729364214,2.448645094912386e-06,1.0,8.406619944160513e-07,5.983523592955165,5.030120877289186e-06,1.0,8.406619944160513e-07,2.8989791175904367,2.437061566764061e-06,16.36052259521039,1.375366955457844e-05,1.0,8.406619944160513e-07
Gene5,0.06315600169227545,False,1.0,0.06315600169227545,False,0.06315600169227545,6.969101087216164,0.44014056005786273,1.311695312903183,0.0828414314014632,1.1788208442135002,0.07444961123203739,4.282680879824086,0.2704770008936457,10.377731610779481,0.6554160351723693,1.0,0.06315600169227545,2.1992200169040266,0.13889394310927675,1.0,0.06315600169227545,12.155497398878635,0.7676926142940289,1.4745669670657617,0.09312775386737872
Gene6,0.06763359978563095,False,1.0,0.06763359978563095,False,0.06763359978563095,1.3051705769680118,0.08827338445463555,1.405929003969002,0.09508803958145023,1.4137023857562325,0.0956137813742287,1.9667904314926414,0.13302111690578172,1.0,0.06763359978563095,1.6162660886170894,0.10931389378461535,8.042957121681972,0.5439741430608288,2.90662985767453,0.19658584051892464,1.8878835426492786,0.12768435996542046,2.5721771862155487,0.17396560239023276
Gene7,0.005981798212113262,False,1.0,0.005981798212113262,False,0.005981798212113262,1.0,0.005981798212113262,1.0,0.005981798212113262,3.200893544900957,0.019147099284053424,4.7591214897447,0.02846810441858465,8.076771286968214,0.04831361604403419,1.1174086133049315,0.0066841128452673985,1.4061352026894596,0.008411217041437328,19.79724008595427,0.11842309535093826,2.7096133499126944,0.01620836029202598,1.0,0.005981798212113262
Gene8,3.988488087044084e-06,False,1.0,3.988488087044084e-06,False,3.988488087044084e-06,1.0,3.988488087044084e-06,1.0,3.988488087044084e-06,4.719537135694876,1.8823817642081173e-05,1.0,3.988488087044084e-06,1.0,3.988488087044084e-06,2.3451290920756063,9.353519446324065e-06,1.8912270007627034,7.543136362438156e-06,6.11117306844763,2.4374340981368013e-05,1.8243306389234173,7.276321020175573e-06,2.7031618907917934,1.078152899877463e-05
Gene9,0.03179684207274442,False,1.0,0.03179684207274442,False,0.03179684207274442,10.12120453150994,0.3218223420743668,1.0,0.03179684207274442,3.914184059716659,0.12445869239046421,10.835151425126863,0.3445235986990305,7.636347652846762,0.24281174033014102,3.1777444306957197,0.10104223781037493,1.0,0.03179684207274442,1.1911266220285064,0.037874065089281955,3.213548926908106,0.10218070772193436,4.656813826204935,0.14807197379401102
Gene10,0.04019856969285132,False,1.0,0.04019856969285132,False,0.04019856969285132,1.0,0.04019856969285132,4.177216860470003,0.16791814308775702,1.0,0.04019856969285132,1.2340212562203576,0.04960588947063398,1.0214913160103474,0.04106248985728436,1.0,0.04019856969285132,3.217881174897436,0.12935422067242885,6.0694949516905154,0.24398501581594045,1.0,0.04019856969285132,7.0539329612859785,0.28355801575295553
Gene11,0.11573674442095702,False,1.0,0.11573674442095702,False,0.11573674442095702,3.9273923307129737,0.45454360242055414,1.0,0.11573674442095702,1.751804456435385,0.2027481446499557,1.462612166436819,0.16927797049388038,2.4717279978520694,0.2860697515655288,3.162520794751104,0.3660198609480704,2.5037017650602094,0.28977029128907245,2.809762783677951,0.3251927971780518,1.8862485438605092,0.2183082656351861,1.0,0.11573674442095702
Gene12,0.03560615238841137,False,1.0,0.03560615238841137,False,0.03560615238841137,1.2588861893168275,0.04482409349648144,1.40802128960523,0.050134220603811314,1.0647124567324189,0.03791031398425435,2.2939138124405334,0.08167744477163932,1.0,0.03560615238841137,3.5217918203361194,0.12539745623514853,16.141508088039185,0.5747369967614978,11.915967711160112,0.42428176217895636,1.3271001634814064,0.04725293065560459,1.2756970032665609,0.04542266189974888
Gene13,0.05397332310229157,False,1.0,0.05397332310229157,False,0.05397332310229157,14.71807897049061,0.7943836317193326,4.5287939975732545,0.2444340616947399,1.518773448387751,0.08197325004901364,6.31709869023707,0.34095480867722827,6.805510772902333,0.36731603182198364,1.4277298857487435,0.07705932642631476,1.0,0.05397332310229157,1.1474095756323364,0.06192950775626734,1.0,0.05397332310229157,3.4076233986165128,0.18392075870445793
