,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,16,15,1,5,3,11,1,19,0,1,46,15,2,0,6,4,4,3,2,0,16,4,0,2,6,2,5,57,4,0,6,31,3,1,0,10,3,17,1,1,116,29,8,11,2,44,1,1,1,0,63,10,10,1,10,12,0,18,2,0,26,6,5,0,3,5,12,22,7,0,103,1,23,1,2,13,15,88,0,0,71,1,6,10,0,65,3,23,0,3,28,0,23,4,4,43,1,20,1,1
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,0,5,0,0,2,7,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,3,0,6,1,1,0,1,1,0,0,5,0,44,0,0,12,0,0,2,0,14,0,1,1,0,0,1,0,1,3,5,0,0,0,5,2,0,0,3,0,0,0,2,0,2,6,2,0,8,0,23,0,0,0,0,3,0,0,6,0,3,2,0,0,1,0,0,0,0,0,24,2,3,3,0
Gene4,0,3,1,1,1,8,0,0,0,3,49,24,0,0,18,8,5,0,1,2,4,11,0,0,9,7,0,0,0,24,9,82,0,1,4,4,1,0,10,0,1,44,2,2,3,6,0,0,5,0,14,8,2,2,4,3,0,0,25,3,0,30,0,0,5,2,0,0,5,0,44,6,2,1,10,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,5,2,6,0,12,1,8,5,12,1
Gene5,0,15,1,9,3,1,8,8,2,0,21,35,1,3,32,0,79,0,3,0,1,11,0,16,11,1,3,9,2,10,0,5,0,2,8,0,5,38,0,0,12,24,0,30,3,0,1,6,1,5,2,12,1,3,18,0,0,2,0,1,3,13,6,3,0,0,26,11,0,0,13,11,8,4,7,0,36,8,1,0,7,3,2,11,27,8,12,1,0,5,0,4,3,7,20,5,19,10,7,2
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Gene7,0,17,1,6,0,0,0,2,0,9,23,3,0,4,5,0,71,0,0,6,0,10,0,2,7,2,0,1,5,19,0,62,0,1,0,0,4,0,0,2,2,29,0,1,0,0,2,2,0,0,5,43,6,2,2,0,8,2,0,3,0,63,0,4,0,0,11,1,1,2,16,11,4,3,1,0,26,1,0,19,15,0,3,0,0,0,20,4,0,45,6,1,2,6,0,1,15,1,10,6
Gene8,0,0,0,0,0,3,0,9,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,1,10,0,0,0,0,0,13,0,0,6,3,0,0,0,12,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,0,1,0,4,1,0,14,5,0,0,0,0,1,5,1,0,2,1,0,3,0,0,0,1,0,0,1,1,0
Gene9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Gene11,0,16,2,0,2,5,10,9,2,1,8,3,1,2,30,1,54,9,3,1,3,0,0,3,3,0,10,22,4,1,4,14,5,0,0,0,15,37,2,3,5,18,6,1,1,0,1,18,0,3,12,3,0,5,0,1,33,12,0,0,0,0,5,2,13,0,20,6,2,0,14,4,0,6,3,2,74,18,2,7,0,3,1,1,0,3,34,6,0,1,7,0,15,0,3,3,26,13,4,2
Gene12,0,0,0,12,0,0,0,0,0,0,8,2,0,3,0,1,4,0,2,0,0,4,1,2,2,0,0,0,0,0,0,27,0,2,0,0,0,1,0,5,0,7,2,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,8,1,7,0,0,0,0,3,0,10,4,0,4,1,0,3,3,0,0,0,0,0,2,2,5,1,0,0,0,0,0,1,3,1,2,0,0,0,3
