,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,12,10,1,0,2,0,6,1,0,0,0,1,1,0,5,6,0,1,5,0,0,2,1,4,2,0,1,9,2,1,1,1,0,1,0,0,4,2,73,1,8,0,0,1,0,2,0,37,19,13,1,2,6,0,0,6,1,0,13,0,8,0,5,3,0,2,0,6,3,1,3,0,0,5,3,0,1,2,3,0,4,4,5,0,6,0,14,0,0,0,1,0,1,2,1,1,3,1,2,6
Gene4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,4,3,0,1,0,0,0,1,0,9,1,0,0,2,2,0,0,3,0,2,0,0,0,1,0,1,2,0,3,1,0,0,0,0,0,7,0,0,19,32,5,0,0,0,0,15,2,1,0,20,2,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,8,0,3,11,0,2,1,0,0,0,1,0,0,5,0,0,2,2,0,0,1,0,0,0,1,1,0,0,14,0,11
Gene6,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,3,0,2,0,4,0,0,1,0,0,0,3,0,0,3,0,0,2,8,10,3,14,0,0,15,0,6,1,5,6,0,0,0,3,8,0,1,0,0,2,0,0,0,2,17,0,3,0,4,0,5,3,6,1,3,1,0,0,0,2,2,4,0,6,2,5,1,4,0,0,0,1,0,0,0,2,0,3,2,1,2
Gene7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,4,0,6,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Gene8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2
Gene9,0,6,0,1,3,0,1,0,0,0,1,0,0,0,14,0,0,0,72,2,0,4,1,3,0,1,0,2,13,2,3,3,2,0,9,1,2,0,191,1,0,1,0,6,1,12,4,1,9,0,1,3,3,0,0,0,5,1,10,2,4,0,8,1,2,4,0,1,10,3,3,3,7,2,2,1,0,1,1,1,3,0,2,0,3,3,7,0,4,3,2,0,4,0,17,0,0,0,11,1
Gene10,1,0,0,0,1,0,7,0,0,0,3,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,3,0,10,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,7,3,0,0,0,0,0,0,0,0,0,5,0,1,0
