,group,libsize,has_program,program_usage
Cell1,1,1834.7582524502398,False,0.0
Cell2,2,4348.434380494112,False,0.0
Cell3,3,3366.7087117015667,True,0.36288047443994165
Cell4,4,1438.9925268826091,False,0.0
Cell5,5,1221.435049799359,False,0.0
Cell6,6,3715.5281226059137,False,0.0
Cell7,7,1072.276827330741,False,0.0
Cell8,8,1051.393645422113,False,0.0
Cell9,9,3818.652254327428,False,0.0
Cell10,10,688.1529159772684,False,0.0
Cell11,1,1496.0744441960885,False,0.0
Cell12,2,11980.075279918363,False,0.0
Cell13,3,2102.306439931713,True,0.6553850886005935
Cell14,4,5789.825471111112,False,0.0
Cell15,5,664.7667771793409,False,0.0
Cell16,6,4428.559970217176,False,0.0
Cell17,7,1113.043173858462,False,0.0
Cell18,8,1672.2969215870069,False,0.0
Cell19,9,903.8228750774298,False,0.0
Cell20,10,1873.9390384930182,False,0.0
Cell21,1,8879.560112182386,False,0.0
Cell22,2,4376.618732017824,False,0.0
Cell23,3,1817.1943547459398,False,0.0
Cell24,4,5649.050161912453,False,0.0
Cell25,5,834.8425686232795,False,0.0
Cell26,6,5616.320258391599,False,0.0
Cell27,7,4117.303848428515,False,0.0
Cell28,8,714.9127197781878,False,0.0
Cell29,9,1968.2376712771988,False,0.0
Cell30,10,5805.156721446152,False,0.0
Cell31,1,2168.7877287795186,False,0.0
Cell32,2,4694.194640594387,True,0.20233936715988926
Cell33,3,2299.690167737958,False,0.0
Cell34,4,1060.3549498894881,False,0.0
Cell35,5,1786.1315288632898,False,0.0
Cell36,6,856.2089785573598,False,0.0
Cell37,7,1653.0310943587265,False,0.0
Cell38,8,4363.248464855992,False,0.0
Cell39,9,1774.5560199088372,False,0.0
Cell40,10,4305.958770932263,False,0.0
Cell41,1,7987.0932356300045,False,0.0
Cell42,2,1727.685824589624,True,0.5462625077702205
Cell43,3,4326.210555923596,True,0.36168134117369055
Cell44,4,3858.241419747805,False,0.0
Cell45,5,1463.1560960917293,False,0.0
Cell46,6,2578.066291099045,False,0.0
Cell47,7,1055.7370413510926,False,0.0
Cell48,8,3210.804992656707,False,0.0
Cell49,9,1454.4777244040577,False,0.0
Cell50,10,1045.2354271011402,False,0.0
Cell51,1,1680.2229564098293,True,0.6704053639666676
Cell52,2,4791.150021357745,True,0.5693193047072723
Cell53,3,775.7109048297641,True,0.5656452093278656
Cell54,4,2445.907611105614,False,0.0
Cell55,5,4294.223457300307,False,0.0
Cell56,6,6868.593312120639,False,0.0
Cell57,7,1036.6401173668014,False,0.0
Cell58,8,3006.9734574855825,False,0.0
Cell59,9,11216.910198359692,False,0.0
Cell60,10,1568.7501605845387,False,0.0
Cell61,1,1368.1525801014193,False,0.0
Cell62,2,2262.832443203289,False,0.0
Cell63,3,3043.300479053863,True,0.20361984098731778
Cell64,4,5384.928861000878,False,0.0
Cell65,5,1343.7886722036922,False,0.0
Cell66,6,737.2526918249213,False,0.0
Cell67,7,2038.8420656769597,False,0.0
Cell68,8,2084.681064387124,False,0.0
Cell69,9,2398.4097490569775,False,0.0
Cell70,10,1388.537668339954,False,0.0
Cell71,1,6710.841109068719,False,0.0
Cell72,2,1988.2289069748745,False,0.0
Cell73,3,3597.514801187037,False,0.0
Cell74,4,2004.4816942798104,False,0.0
Cell75,5,2185.050765527665,False,0.0
Cell76,6,913.8177868359526,False,0.0
Cell77,7,5606.629630135636,False,0.0
Cell78,8,275.2889396561979,False,0.0
Cell79,9,3230.672649602683,False,0.0
Cell80,10,4172.2535415770635,False,0.0
Cell81,1,1932.4226162344278,True,0.47652201615347156
Cell82,2,2434.10581913504,True,0.29483944860669326
Cell83,3,1027.5725776834317,False,0.0
Cell84,4,4782.877172732448,False,0.0
Cell85,5,631.7246516593484,False,0.0
Cell86,6,866.83119332172,False,0.0
Cell87,7,2881.200884350007,False,0.0
Cell88,8,1595.4057211844474,False,0.0
Cell89,9,1411.321559605436,False,0.0
Cell90,10,4523.965856331447,False,0.0
Cell91,1,2444.90389631617,False,0.0
Cell92,2,2247.3337358561384,False,0.0
Cell93,3,4300.145136147749,False,0.0
Cell94,4,3794.2155754476257,False,0.0
Cell95,5,1256.1758194460044,False,0.0
Cell96,6,1262.1893131915078,False,0.0
Cell97,7,1081.5381645580756,False,0.0
Cell98,8,1973.6750840432703,False,0.0
Cell99,9,1437.5291809762582,False,0.0
Cell100,10,1207.7071278491512,False,0.0
