,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gene3,2,0,6,2,4,4,0,4,1,0,3,3,1,8,0,1,0,0,0,0,5,11,0,8,0,2,8,0,2,16,0,2,2,4,2,0,0,11,3,3,1,0,3,4,2,2,0,4,1,0,0,0,0,2,2,14,2,2,1,3,0,2,1,4,2,0,0,0,0,3,4,3,4,0,9,0,0,0,0,3,0,0,1,11,1,0,3,0,0,2,15,1,13,3,1,0,1,1,0,7
Gene4,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,3
Gene5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene6,2,14,7,8,0,4,10,1,0,0,9,15,4,9,5,3,11,6,0,0,24,16,7,19,3,18,0,1,7,16,2,2,0,1,4,6,5,8,1,8,5,1,24,18,2,5,1,6,0,1,0,12,5,0,3,4,6,16,10,1,1,5,9,23,1,1,6,3,16,3,32,2,14,5,12,6,39,2,1,37,5,2,1,13,7,8,5,0,0,8,17,2,40,38,5,2,2,1,0,2
Gene7,0,0,1,0,0,0,0,0,0,6,4,10,0,0,0,2,0,0,0,9,2,0,0,2,0,0,5,0,2,2,2,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,8,0,0,0,0,1,0,0,0,1,11,0,0,0,3,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,17,0,0,0,6,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0
Gene8,0,2,0,0,2,0,2,0,0,0,0,8,0,0,0,5,0,0,0,3,3,0,4,1,0,3,2,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,2,51,0,0,0,0,0,0,3,0,0,20,0,0,3,0,1,0,0,0,0,0,0,0,0
Gene9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
Gene10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gene11,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Gene12,2,1,0,0,1,2,0,1,0,2,0,0,0,0,0,3,5,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0
