,group,libsize,has_program,program_usage
Cell1,1,2333.930970664814,False,0.0
Cell2,2,687.3827254563641,True,0.5693338575588512
Cell3,3,1060.8998022231644,False,0.0
Cell4,4,1484.315627532653,False,0.0
Cell5,5,5124.284932228225,False,0.0
Cell6,6,6856.90786789327,False,0.0
Cell7,7,343.90885576859466,False,0.0
Cell8,8,5479.19649865239,False,0.0
Cell9,9,4743.248659352796,False,0.0
Cell10,10,6938.853224451605,False,0.0
Cell11,1,9136.809452582525,False,0.0
Cell12,2,4257.717249392624,True,0.16456569498606316
Cell13,3,1332.9913894530705,False,0.0
Cell14,4,3734.4331504302936,False,0.0
Cell15,5,3827.7971279864532,False,0.0
Cell16,6,3858.4256737289265,False,0.0
Cell17,7,3040.1479708943757,False,0.0
Cell18,8,7013.105855163515,False,0.0
Cell19,9,2015.0526839202914,False,0.0
Cell20,10,4910.647134790243,False,0.0
Cell21,1,1346.2134668347715,False,0.0
Cell22,2,1015.1372721750739,True,0.6842058094643614
Cell23,3,4159.860235591078,True,0.6848118738319092
Cell24,4,3269.7393940883053,False,0.0
Cell25,5,370.6747156130767,False,0.0
Cell26,6,9368.571575767117,False,0.0
Cell27,7,1060.1515766901496,False,0.0
Cell28,8,2731.5955745042334,False,0.0
Cell29,9,2644.303360717436,False,0.0
Cell30,10,2162.503885169907,False,0.0
Cell31,1,1918.649419536679,True,0.5001675317023601
Cell32,2,4280.337135707669,True,0.6274046463150831
Cell33,3,5432.4906365532615,True,0.6085977386212575
Cell34,4,2130.864865775794,False,0.0
Cell35,5,620.6601922858256,False,0.0
Cell36,6,1230.2688855911729,False,0.0
Cell37,7,3323.94218651114,False,0.0
Cell38,8,1554.6513926936111,False,0.0
Cell39,9,2599.9258010569097,False,0.0
Cell40,10,2386.663609703622,False,0.0
Cell41,1,5612.5721572342345,False,0.0
Cell42,2,2113.6833778882124,False,0.0
Cell43,3,12554.612010259609,False,0.0
Cell44,4,665.0888048794043,False,0.0
Cell45,5,3922.3110728564143,False,0.0
Cell46,6,1529.7432942425503,False,0.0
Cell47,7,8198.133710746806,False,0.0
Cell48,8,2743.575075706931,False,0.0
Cell49,9,5505.60561251107,False,0.0
Cell50,10,1245.8750351917242,False,0.0
Cell51,1,2127.8058760159,False,0.0
Cell52,2,1222.913827726284,True,0.5990856274114994
Cell53,3,8200.2508183596,True,0.27509473715475824
Cell54,4,1111.6084576798085,False,0.0
Cell55,5,627.6556615539956,False,0.0
Cell56,6,4862.181046742662,False,0.0
Cell57,7,9471.76973678169,False,0.0
Cell58,8,1114.5634734898242,False,0.0
Cell59,9,3248.340644621099,False,0.0
Cell60,10,1795.2597844280463,False,0.0
Cell61,1,1305.1501638816821,False,0.0
Cell62,2,7080.41153485002,True,0.1961388084750611
Cell63,3,4188.584979617707,False,0.0
Cell64,4,4843.611010508514,False,0.0
Cell65,5,1850.4630370240973,False,0.0
Cell66,6,1228.274312128166,False,0.0
Cell67,7,3978.2118217043458,False,0.0
Cell68,8,4773.832586106826,False,0.0
Cell69,9,526.8089397595086,False,0.0
Cell70,10,1926.3587493225414,False,0.0
Cell71,1,1902.8005275101186,False,0.0
Cell72,2,2084.0472531232967,True,0.4985887233989892
Cell73,3,4462.39390255779,False,0.0
Cell74,4,1143.1578758191954,False,0.0
Cell75,5,1084.758369450272,False,0.0
Cell76,6,777.4694582248305,False,0.0
Cell77,7,2541.6998584702224,False,0.0
Cell78,8,11773.219723361242,False,0.0
Cell79,9,1195.3741297746599,False,0.0
Cell80,10,786.6643464435439,False,0.0
Cell81,1,4273.008090572461,False,0.0
Cell82,2,721.9609826762402,False,0.0
Cell83,3,1239.212411975145,True,0.49146389111562305
Cell84,4,1450.2767439120746,False,0.0
Cell85,5,771.5758085596896,False,0.0
Cell86,6,1979.378655168743,False,0.0
Cell87,7,1887.1737503156874,False,0.0
Cell88,8,4763.83364573543,False,0.0
Cell89,9,4243.750665102854,False,0.0
Cell90,10,3103.083614973812,False,0.0
Cell91,1,3159.5099407893763,True,0.683363130989566
Cell92,2,1862.2318667024101,False,0.0
Cell93,3,960.0975053282065,False,0.0
Cell94,4,2622.7166951100485,False,0.0
Cell95,5,886.39458677084,False,0.0
Cell96,6,4639.048992761115,False,0.0
Cell97,7,553.3425174802202,False,0.0
Cell98,8,1301.9991876253077,False,0.0
Cell99,9,988.6845709873305,False,0.0
Cell100,10,2533.4472838863753,False,0.0
