,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,0,0,2,0,4,0,0,0,5,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,1,0,0
Gene2,2,3,3,2,2,6,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,17,0,0,0,0,0,1,1,0,4,0,1,0,2,13,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,2,1,0,1,8,0,0,1,0,0,0,0,0,1,0,0,0
Gene3,4,0,0,3,16,0,2,0,6,2,6,10,0,15,1,2,0,2,0,9,0,0,0,8,16,1,0,6,0,9,10,0,0,0,7,0,0,11,12,0,0,0,0,0,7,0,0,139,10,6,0,0,5,7,1,0,7,0,3,0,0,2,0,30,0,2,2,6,0,0,0,0,2,2,26,0,7,3,7,62,2,0,2,13,25,0,0,17,4,0,12,0,0,0,5,7,0,0,2,11
Gene4,45,24,4,26,2,3,0,11,1,0,12,40,5,47,0,1,0,8,0,31,7,12,9,29,0,0,0,27,1,2,43,7,0,5,6,0,5,44,4,0,5,14,0,6,1,8,0,136,0,2,7,2,9,23,2,0,1,14,12,1,10,39,1,52,1,1,0,20,3,3,24,2,3,32,3,5,0,4,1,4,3,6,12,36,6,1,0,52,0,1,28,2,5,39,0,0,0,32,1,1
Gene5,18,0,0,1,1,0,4,0,0,0,0,1,0,1,0,2,0,2,0,11,1,0,0,0,0,0,1,7,0,3,3,0,0,0,0,0,9,15,0,1,1,0,0,0,1,0,3,8,0,20,0,0,2,1,0,0,2,0,0,6,0,3,0,0,2,2,8,19,4,7,0,0,0,0,0,0,4,7,0,15,0,0,0,1,8,5,3,50,0,0,6,2,0,0,0,1,5,5,0,10
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
Gene7,48,4,15,29,5,2,13,2,9,42,17,6,4,15,7,6,3,0,0,17,1,0,20,6,1,4,3,4,1,9,26,6,1,1,37,1,11,7,5,1,0,0,2,12,9,22,4,34,4,41,12,7,34,17,20,2,30,1,0,66,38,3,0,14,13,33,15,26,0,10,6,6,4,2,23,9,9,6,1,112,0,1,5,18,27,3,0,34,1,30,7,7,0,4,19,3,5,0,6,45
Gene8,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gene9,25,17,136,115,10,38,3,9,76,6,1,37,25,420,11,236,3,7,9,73,7,0,8,107,66,9,8,38,34,49,2,50,30,13,31,67,29,22,52,0,6,1,48,140,16,192,3,41,9,30,8,17,131,140,32,90,14,2,19,16,2,57,12,286,22,305,12,56,15,43,5,11,48,110,32,62,22,8,11,70,4,11,339,351,47,74,0,35,18,0,16,1,47,189,39,108,5,3,131,9
Gene10,1,0,8,0,1,0,2,0,1,4,0,0,0,2,1,0,1,0,0,2,0,0,1,9,0,0,1,1,0,0,0,0,2,0,39,0,15,5,0,0,7,0,6,1,15,1,2,2,0,0,0,0,6,0,9,0,14,1,0,0,0,0,0,0,0,0,1,4,7,1,1,0,0,0,5,0,8,1,0,4,1,0,6,1,3,0,0,3,0,0,0,0,2,1,2,0,10,8,0,0
