,group,libsize,has_program,program_usage
Cell1,1,1790.296842765156,True,0.37948454623069705
Cell2,2,1001.5751333934778,False,0.0
Cell3,3,14843.954250072826,False,0.0
Cell4,4,1735.667405636982,False,0.0
Cell5,5,8666.422964793748,False,0.0
Cell6,6,1576.0409764694625,False,0.0
Cell7,7,6586.724825449261,False,0.0
Cell8,8,1442.390948435311,False,0.0
Cell9,9,3609.5934585569935,False,0.0
Cell10,10,3211.3925324515035,False,0.0
Cell11,1,3377.432650602637,True,0.10681146636209127
Cell12,2,821.5245481774687,False,0.0
Cell13,3,2279.4569725002075,False,0.0
Cell14,4,723.9106459679638,False,0.0
Cell15,5,3492.4718398982045,False,0.0
Cell16,6,2122.7607988921827,False,0.0
Cell17,7,192.83310835996556,False,0.0
Cell18,8,1300.6551513583624,False,0.0
Cell19,9,482.36886130701157,False,0.0
Cell20,10,1649.8601496884378,False,0.0
Cell21,1,2545.8021169320577,False,0.0
Cell22,2,1282.3148816701246,True,0.39516169746221996
Cell23,3,1122.5958063404653,False,0.0
Cell24,4,4799.063544522417,False,0.0
Cell25,5,904.6215973173527,False,0.0
Cell26,6,1782.0854553813854,False,0.0
Cell27,7,2835.9719049651667,False,0.0
Cell28,8,2393.4846400519205,False,0.0
Cell29,9,2755.7494062112014,False,0.0
Cell30,10,2635.819805202162,False,0.0
Cell31,1,5501.916050647331,False,0.0
Cell32,2,754.4846712977683,False,0.0
Cell33,3,876.7122153915391,False,0.0
Cell34,4,4559.908110961109,False,0.0
Cell35,5,1692.4069252094334,False,0.0
Cell36,6,12145.675082828488,False,0.0
Cell37,7,2015.1031633273183,False,0.0
Cell38,8,4372.928155083617,False,0.0
Cell39,9,1463.572667483709,False,0.0
Cell40,10,607.6939570435765,False,0.0
Cell41,1,1188.8253574826738,True,0.5404216869107241
Cell42,2,6843.686496382849,False,0.0
Cell43,3,753.9504806629482,False,0.0
Cell44,4,1177.696481031969,False,0.0
Cell45,5,22864.50385180452,False,0.0
Cell46,6,12132.202201894544,False,0.0
Cell47,7,2345.4064949223543,False,0.0
Cell48,8,1878.6232460838917,False,0.0
Cell49,9,1060.4695268151888,False,0.0
Cell50,10,705.9835050542483,False,0.0
Cell51,1,1079.0154458186219,False,0.0
Cell52,2,5868.5341702520245,False,0.0
Cell53,3,3552.954888621195,False,0.0
Cell54,4,2962.372410532472,False,0.0
Cell55,5,1221.7269296325073,False,0.0
Cell56,6,2359.4073349277546,False,0.0
Cell57,7,1034.609077771016,False,0.0
Cell58,8,1043.3633079186598,False,0.0
Cell59,9,7484.539829756815,False,0.0
Cell60,10,2121.1658248641857,False,0.0
Cell61,1,2796.5729633004285,False,0.0
Cell62,2,3813.4111910386205,False,0.0
Cell63,3,3029.677934001675,False,0.0
Cell64,4,736.058906637787,False,0.0
Cell65,5,591.3341468649693,False,0.0
Cell66,6,1239.3189027877418,False,0.0
Cell67,7,1672.1330447745831,False,0.0
Cell68,8,11887.415354005107,False,0.0
Cell69,9,9598.4922034408,False,0.0
Cell70,10,3198.3749497015137,False,0.0
Cell71,1,7022.11724117391,True,0.47048914623037974
Cell72,2,856.2686336629789,True,0.685912545336421
Cell73,3,1792.8385749187535,False,0.0
Cell74,4,1004.1796905618983,False,0.0
Cell75,5,1724.4290072876663,False,0.0
Cell76,6,2447.6168408682643,False,0.0
Cell77,7,4405.891842106385,False,0.0
Cell78,8,1755.3715553233426,False,0.0
Cell79,9,1174.4610883857865,False,0.0
Cell80,10,784.6691236179089,False,0.0
Cell81,1,2386.5151656568937,True,0.12085944259912645
Cell82,2,2911.9827404315006,True,0.670248597827478
Cell83,3,2079.042994151608,False,0.0
Cell84,4,2491.2385738409007,False,0.0
Cell85,5,1062.7586896934224,False,0.0
Cell86,6,9721.051888273243,False,0.0
Cell87,7,5159.888744530043,False,0.0
Cell88,8,1171.4219375583232,False,0.0
Cell89,9,1589.3385985620207,False,0.0
Cell90,10,2242.6195877452874,False,0.0
Cell91,1,1388.5846282162506,False,0.0
Cell92,2,979.0506951659443,False,0.0
Cell93,3,2757.169448521086,False,0.0
Cell94,4,331.8109281835797,False,0.0
Cell95,5,723.6554628868998,False,0.0
Cell96,6,3792.573905894575,False,0.0
Cell97,7,1718.1223535657884,False,0.0
Cell98,8,3037.0255870591027,False,0.0
Cell99,9,5527.428240142076,False,0.0
Cell100,10,8784.506560857228,False,0.0
