,group,libsize,has_program,program_usage
Cell1,1,2646.023829027747,False,0.0
Cell2,2,1945.3744730141675,True,0.5613984031367213
Cell3,3,961.7399796771847,False,0.0
Cell4,4,484.4660359086226,False,0.0
Cell5,5,846.5882607261659,False,0.0
Cell6,6,12349.926063652196,False,0.0
Cell7,7,771.0823202263147,False,0.0
Cell8,8,1815.5106768146472,False,0.0
Cell9,9,4580.186920484847,False,0.0
Cell10,10,3431.6274108948614,False,0.0
Cell11,1,3659.6686601468386,False,0.0
Cell12,2,7540.23362668741,True,0.24155997360222298
Cell13,3,1636.071862279691,False,0.0
Cell14,4,1503.3916026832026,False,0.0
Cell15,5,2998.169917799652,False,0.0
Cell16,6,1955.359158061544,False,0.0
Cell17,7,7168.711700746034,False,0.0
Cell18,8,5247.701902074169,False,0.0
Cell19,9,1390.1401379503582,False,0.0
Cell20,10,1690.825953853349,False,0.0
Cell21,1,1222.4679327535337,True,0.5956655095564786
Cell22,2,807.6267823558686,False,0.0
Cell23,3,1014.5304535517936,False,0.0
Cell24,4,913.8120577168835,False,0.0
Cell25,5,2167.074999225895,False,0.0
Cell26,6,1639.580335701085,False,0.0
Cell27,7,5269.312627356766,False,0.0
Cell28,8,3056.108517527929,False,0.0
Cell29,9,938.9146619806639,False,0.0
Cell30,10,562.9601400296905,False,0.0
Cell31,1,3958.3767982815534,False,0.0
Cell32,2,2116.8394343430227,False,0.0
Cell33,3,670.0673767718546,False,0.0
Cell34,4,9410.96581638233,False,0.0
Cell35,5,3465.8971387940333,False,0.0
Cell36,6,5201.655097600289,False,0.0
Cell37,7,1388.8556666300858,False,0.0
Cell38,8,2719.211453736461,False,0.0
Cell39,9,1930.2378905085102,False,0.0
Cell40,10,3214.0090460367283,False,0.0
Cell41,1,535.8198850112666,True,0.5213949948764423
Cell42,2,3806.074524023984,False,0.0
Cell43,3,13265.483052778525,False,0.0
Cell44,4,889.4486408876664,False,0.0
Cell45,5,784.6563019015853,False,0.0
Cell46,6,403.6784935239014,False,0.0
Cell47,7,1695.7201709585638,False,0.0
Cell48,8,677.0348807973786,False,0.0
Cell49,9,451.7777809023973,False,0.0
Cell50,10,2995.106515906719,False,0.0
Cell51,1,2463.2707506757215,True,0.3754047699481118
Cell52,2,1391.661704130395,False,0.0
Cell53,3,1232.9302185275008,False,0.0
Cell54,4,865.2390686445185,False,0.0
Cell55,5,8333.438225501339,False,0.0
Cell56,6,3351.2695389072774,False,0.0
Cell57,7,4713.721685123799,False,0.0
Cell58,8,616.1612162840494,False,0.0
Cell59,9,1406.3251455293828,False,0.0
Cell60,10,7684.534787505479,False,0.0
Cell61,1,854.5600300956935,False,0.0
Cell62,2,2028.5206744142047,False,0.0
Cell63,3,1933.7658590054766,False,0.0
Cell64,4,2087.839508524327,False,0.0
Cell65,5,730.6324745296961,False,0.0
Cell66,6,3902.7614943753983,False,0.0
Cell67,7,1560.265961399097,False,0.0
Cell68,8,2967.5275041452405,False,0.0
Cell69,9,1151.830577552388,False,0.0
Cell70,10,2733.2861093552983,False,0.0
Cell71,1,2667.094054668266,False,0.0
Cell72,2,5015.227115622654,False,0.0
Cell73,3,2883.9481982345214,False,0.0
Cell74,4,308.3047722665397,False,0.0
Cell75,5,7561.730832926007,False,0.0
Cell76,6,978.2475374844895,False,0.0
Cell77,7,7601.731038813868,False,0.0
Cell78,8,1455.2203134427218,False,0.0
Cell79,9,2042.1714622922507,False,0.0
Cell80,10,1903.7655417842773,False,0.0
Cell81,1,901.824763246951,True,0.6597160172290033
Cell82,2,2079.1583663868246,False,0.0
Cell83,3,1263.1788760401985,False,0.0
Cell84,4,4240.445525275022,False,0.0
Cell85,5,5196.788466680262,False,0.0
Cell86,6,1308.341155482862,False,0.0
Cell87,7,2022.316657564842,False,0.0
Cell88,8,2034.3649418998868,False,0.0
Cell89,9,1416.3994559837608,False,0.0
Cell90,10,2189.51213401263,False,0.0
Cell91,1,705.7052190110185,True,0.5533306114616303
Cell92,2,4756.081700856925,False,0.0
Cell93,3,3853.8450967779013,False,0.0
Cell94,4,1629.5837903730844,False,0.0
Cell95,5,1245.9968249723524,False,0.0
Cell96,6,639.5485265900451,False,0.0
Cell97,7,1933.5282880758937,False,0.0
Cell98,8,1460.24138177324,False,0.0
Cell99,9,2302.78343094542,False,0.0
Cell100,10,2946.0052276856036,False,0.0
