,group,libsize,has_program,program_usage
Cell1,1,14025.66739760824,False,0.0
Cell2,2,245.3353272172874,True,0.5768030661442738
Cell3,3,3098.5511790439646,True,0.6964809036795422
Cell4,4,1462.5263129527711,False,0.0
Cell5,5,725.9097078710059,False,0.0
Cell6,6,1221.5984434102108,False,0.0
Cell7,7,1897.4324239011046,False,0.0
Cell8,8,2782.9572641367727,False,0.0
Cell9,9,2410.473236428131,False,0.0
Cell10,10,1640.6615203551717,False,0.0
Cell11,1,6577.506410678061,False,0.0
Cell12,2,3392.0875383095786,False,0.0
Cell13,3,3409.147550037655,False,0.0
Cell14,4,9001.215867659217,False,0.0
Cell15,5,1122.3728364849617,False,0.0
Cell16,6,1535.3991975374556,False,0.0
Cell17,7,1509.89118350895,False,0.0
Cell18,8,496.2778107230037,False,0.0
Cell19,9,3193.752370763848,False,0.0
Cell20,10,910.3146249251877,False,0.0
Cell21,1,18501.366147384877,True,0.44468337779236333
Cell22,2,3302.154274790286,False,0.0
Cell23,3,2500.443439334206,True,0.19531720983177284
Cell24,4,2311.5197175448193,False,0.0
Cell25,5,1330.3756254760071,False,0.0
Cell26,6,13940.839551944084,False,0.0
Cell27,7,1557.778134551237,False,0.0
Cell28,8,1273.9826892322567,False,0.0
Cell29,9,1315.3513750865127,False,0.0
Cell30,10,1757.4585130171808,False,0.0
Cell31,1,801.9781318249544,True,0.2508450941112473
Cell32,2,1848.4697102808652,False,0.0
Cell33,3,1676.3776053572365,True,0.13022539354298543
Cell34,4,2444.150600717368,False,0.0
Cell35,5,6678.136953344913,False,0.0
Cell36,6,4844.318925171161,False,0.0
Cell37,7,1241.0511353281283,False,0.0
Cell38,8,614.2107997326224,False,0.0
Cell39,9,1112.9951572071873,False,0.0
Cell40,10,771.5132595026421,False,0.0
Cell41,1,5759.697978770838,False,0.0
Cell42,2,4492.421315798279,False,0.0
Cell43,3,1006.0761724857405,False,0.0
Cell44,4,3426.2561935183185,False,0.0
Cell45,5,1466.8344644215404,False,0.0
Cell46,6,4293.175043060914,False,0.0
Cell47,7,3828.0684635922275,False,0.0
Cell48,8,2805.953793720889,False,0.0
Cell49,9,1205.0369449433044,False,0.0
Cell50,10,8701.135393801731,False,0.0
Cell51,1,2487.470643690541,True,0.6859057343699688
Cell52,2,5551.019371785778,True,0.2492959958395508
Cell53,3,2499.2321319172233,True,0.283186816551294
Cell54,4,2562.744496065508,False,0.0
Cell55,5,1621.815790571203,False,0.0
Cell56,6,3402.1597916853325,False,0.0
Cell57,7,4672.924363446389,False,0.0
Cell58,8,4105.019609449442,False,0.0
Cell59,9,1218.6911790687773,False,0.0
Cell60,10,1650.6452528537675,False,0.0
Cell61,1,976.5227025397437,False,0.0
Cell62,2,2090.8271643418343,True,0.19834104741704706
Cell63,3,4266.0208119030185,False,0.0
Cell64,4,2630.0261969368794,False,0.0
Cell65,5,3808.17015789803,False,0.0
Cell66,6,917.1981590579703,False,0.0
Cell67,7,4079.0958425231397,False,0.0
Cell68,8,4114.24994970929,False,0.0
Cell69,9,3910.9413965426616,False,0.0
Cell70,10,4532.181292482143,False,0.0
Cell71,1,409.12357048164176,False,0.0
Cell72,2,6129.875957196408,False,0.0
Cell73,3,12370.49117423474,False,0.0
Cell74,4,3906.3137093822543,False,0.0
Cell75,5,714.9276670139094,False,0.0
Cell76,6,4181.462237340548,False,0.0
Cell77,7,1109.4433284850163,False,0.0
Cell78,8,967.8841907197201,False,0.0
Cell79,9,10471.227990005249,False,0.0
Cell80,10,5217.480018124305,False,0.0
Cell81,1,355.5362089424095,True,0.2050507105677476
Cell82,2,6002.674530039148,True,0.5232003053474417
Cell83,3,3006.3591784752944,True,0.489668861247487
Cell84,4,2032.4540282555172,False,0.0
Cell85,5,14882.147531235314,False,0.0
Cell86,6,6937.257446459607,False,0.0
Cell87,7,1394.736661013526,False,0.0
Cell88,8,3713.5424650618543,False,0.0
Cell89,9,1864.4716343845498,False,0.0
Cell90,10,1636.84698007042,False,0.0
Cell91,1,5812.414685375914,False,0.0
Cell92,2,2133.086303729977,True,0.2771315615796817
Cell93,3,1024.9885637120433,False,0.0
Cell94,4,819.2845949809215,False,0.0
Cell95,5,1834.3464917568274,False,0.0
Cell96,6,1861.1263121469499,False,0.0
Cell97,7,3697.981090293293,False,0.0
Cell98,8,2591.545668870234,False,0.0
Cell99,9,1357.778933947062,False,0.0
Cell100,10,1034.701959112838,False,0.0
