,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,2,1,2,1,3,5,12,4,0,0,2,0,0,0,0,0,0,3,9,0,1,5,0,4,3,0,4,1,10,0,0,3,0,8,0,0,1,0,0,4,0,0,12,1,2,2,0,1,0,2,0,1,0,0,1,0,3,0,0,1,0,0,0,1,1,13,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2,0,0,0,0,0,4,1,9,10,3
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,0,2,5,0,9,0,170,0,2,8,10,0,2,0,0,0,4,0,0,4,1,1,0,0,2,0,5,1,0,14,1,0,0,2,0,28,3,0,2,0,2,13,1,0,4,30,11,0,1,1,1,18,5,0,0,1,7,0,10,1,0,0,4,0,0,0,10,8,10,25,0,0,3,0,0,2,27,0,1,2,1,4,2,0,0,10,58,0,1,3,0,4,0,0,0,6,7,4,4,21
Gene4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,0,0,3,0,6,1,6,0,1,1,7,3,0,4,0,2,0,1,1,3,0,0,0,23,2,0,0,1,9,1,1,1,0,6,0,9,0,10,0,0,0,5,1,0,3,15,3,2,0,0,0,0,0,8,0,0,1,0,7,1,0,1,0,0,0,0,0,1,3,2,1,0,1,1,0,0,1,0,0,0,2,0,0,11,0,5,6,1,2,0,0,0,0,0,0,3,0,1,4,4
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene7,0,12,18,4,10,0,2,6,6,1,0,0,4,0,2,4,0,12,0,0,0,1,0,14,0,4,1,4,1,3,0,0,0,8,1,10,1,10,5,0,0,11,2,3,4,13,0,5,3,2,0,1,4,0,0,5,0,6,23,0,0,6,2,0,3,0,0,81,26,0,7,1,0,0,0,7,3,15,6,7,2,1,1,1,0,16,5,2,4,0,0,0,6,5,1,3,2,26,22,1
Gene8,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,9,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,2,0,2,0,1,0,3,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,0,1,4,0,0,0,2,3,0,2,0,2
Gene9,0,0,3,0,0,0,1,0,11,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,1,0,1,0,0,2,0,0,0,3,0,2,4,0,0,1,0,0,0,0,0,3,0,0,0,2,0,2,0,3,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,11,0,0,2,1,0,0,0
Gene10,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,5,0,0,0,0,0,0,2,0,0
Gene11,0,0,2,0,2,0,0,0,1,1,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,4,0,1,0,0,0,1,0,1,42,2,0,3,1,0,0,6,0,2,2,0,0,1,2,5,0,1,2,0,7,0,0,1,4,1,1,0,1,0,0,0,1,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,4,1,0,0,4,7
Gene12,3,1,6,19,41,1,53,4,9,16,2,0,1,1,2,20,6,2,0,5,4,0,0,21,0,4,60,2,11,6,9,1,0,15,2,64,29,3,8,2,0,19,1,2,54,59,77,2,0,5,1,8,8,22,13,6,13,1,7,8,1,0,3,2,0,0,11,18,20,20,6,0,0,3,3,22,58,2,0,0,2,2,1,24,0,44,124,1,1,1,0,5,2,7,2,27,25,9,2,8
Gene13,0,0,11,0,2,1,0,0,0,8,2,3,0,0,3,0,0,0,0,0,2,1,1,4,0,0,0,2,0,0,6,0,0,1,2,4,0,0,0,0,0,23,0,1,21,2,0,0,0,3,0,8,0,0,1,2,0,0,1,5,2,2,3,0,1,0,0,4,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,2,2,0,0,0,0,0,3,0,0,0,11
Gene14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene16,9,4,6,0,18,0,0,2,11,1,6,2,1,0,11,0,0,0,0,0,14,1,0,0,3,1,0,5,5,6,8,5,0,0,1,3,0,1,4,2,1,1,0,0,9,4,0,2,2,0,0,11,3,0,0,0,1,2,18,3,6,5,0,4,0,0,0,8,3,0,3,1,0,0,5,10,6,2,3,3,2,1,0,1,0,6,5,0,5,0,8,5,3,0,0,5,1,6,34,1
Gene17,3,0,2,0,9,0,3,0,0,0,0,0,0,0,9,0,1,0,0,1,3,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,13,2,17,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,4,4,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,0,0,0,2,0,0,5,0,0,0,0,0
Gene18,13,0,132,1,0,0,4,1,13,0,36,1,8,5,18,4,0,2,0,1,31,0,9,0,0,8,5,0,1,5,44,0,1,1,5,25,1,1,4,1,1,6,11,1,40,19,1,7,1,0,3,3,28,1,0,12,1,0,10,0,66,0,33,3,0,5,5,0,31,5,40,0,13,0,1,5,10,0,4,0,15,0,5,1,1,76,12,0,1,1,7,3,46,3,2,8,2,0,0,0
Gene19,5,0,24,0,121,0,3,0,36,6,1,0,1,0,28,3,6,0,3,1,4,0,4,2,4,0,1,1,0,0,22,0,0,0,0,3,11,9,0,1,0,18,3,0,89,14,0,7,2,0,3,0,19,1,15,2,0,0,5,0,39,2,3,0,0,0,0,4,29,0,23,0,2,1,4,3,0,2,0,0,0,0,0,0,13,1,0,4,6,0,0,0,0,0,0,2,0,13,43,18
Gene20,2,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,4,1,0,0,2,2,0,0,1,0,1,0,16,2,0,0,8,1,0,0,0,2,2,0,1,0,0,0,0,1,0,7,9,2,0,0,0,1,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,4,0,0,0,0,1,0,1,1,0
Gene21,1,0,28,0,5,0,5,0,0,3,0,0,4,0,2,0,0,2,0,6,0,0,2,0,0,1,3,0,0,4,2,0,1,1,1,6,0,3,1,0,0,1,0,0,10,5,1,2,0,2,2,1,5,1,0,2,0,0,2,0,0,3,2,3,0,0,3,1,0,1,4,0,2,1,6,0,1,0,0,0,3,1,0,2,0,9,0,1,4,6,0,0,0,0,2,4,0,0,4,7
