,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,2,0,14,11,2,0,5,0,24,5,6,14,10,61,5,1,0,0,6,0,13,1,0,14,0,2,0,5,28,2,16,2,0,38,3,8,20,0,6,1,35,24,4,12,8,0,0,5,26,1,9,37,3,8,0,1,10,5,15,0,0,0,0,155,0,0,9,0,16,0,24,2,0,17,3,13,1,0,77,5,20,13,3,65,2,19,11,3,16,0,46,1,0,23,4,0,0,5,5,0
Gene4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Gene5,5,1,1,42,10,0,14,0,35,21,3,19,15,20,5,1,13,0,3,5,1,1,2,12,1,13,10,1,18,9,4,3,0,20,0,2,34,1,14,6,6,2,5,1,4,0,5,15,4,1,1,0,5,6,0,2,25,10,10,2,0,3,2,86,1,0,12,1,4,8,1,1,2,4,1,1,37,4,11,12,0,9,7,4,0,15,16,9,18,2,11,2,6,34,1,2,0,2,11,10
Gene6,0,1,5,0,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,3,4,0,0,1,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,4,0,0,1,0,2,0,2,2,4,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,6,0,5,2,0,0,1,0,0,0,35,0,3,3,0,4,5,5,0,1,3,0,0,1,0
Gene7,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,7,0,0,8,0,0,0,0
Gene8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,8,6,0,0,0,0,0,2,0,0,0,10,0,2,0,0,0,3,0,0,0,0,0
Gene11,2,0,1,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,0,1,0,0,2,0,5,1,0,10,2,5,0,0,3,0,3,0,1,8,0,4,0,2,0,0,0,0,3,3,0,0,0,0,0,0,1,0,4,15,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,12,0,2,11,0,0,0,2,2,0,30,1,2,4,0,3,2,0,0,1,2,0,0,5,1
