,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,3,0,2,1,0,14,0,6,5,20,9,3,2,0,2,2,1,1,3,3,2,0,7,3,0,48,1,0,2,10,1,0,1,0,0,14,0,0,11,1,10,0,5,0,0,7,2,0,12,0,2,0,7,0,0,17,0,0,8,3,5,0,0,1,0,0,0,1,2,1,7,0,0,0,5,1,3,0,0,6,11,3,0,0,0,11,0,0,10,18,1,2,3,1,1,37,0,2,0,4
Gene2,0,0,0,1,0,7,9,14,1,0,1,3,2,7,8,24,32,8,0,2,2,0,1,3,1,13,0,0,1,3,1,1,1,0,2,1,18,1,0,2,0,1,4,0,0,2,11,1,1,0,0,1,3,1,0,15,23,0,0,1,0,0,0,0,1,5,21,8,0,0,0,0,9,0,0,0,35,5,0,0,5,0,1,4,1,7,8,3,0,1,1,5,0,8,0,4,6,1,0,3
Gene3,0,0,0,0,1,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,7,0,0,1,14,12,2,4,35,2,28,0,0,5,11,2,4,7,33,4,1,0,0,1,4,1,0,0,6,0,0,7,1,3,0,0,4,0,18,0,29,2,7,0,7,0,6,1,4,1,3,1,6,0,0,12,6,0,15,1,22,7,1,7,3,1,7,0,0,1,10,0,0,2,0,1,0,13,9,0,12,0,0,7,5,4,1,2,35,7,6,0,8,2,19,4,0,0,8,0
Gene6,0,1,1,2,1,2,0,7,11,3,3,6,0,0,3,5,2,27,0,4,1,0,0,12,0,16,0,16,0,0,0,0,0,0,0,0,19,2,7,2,2,0,2,0,1,0,20,9,13,0,2,3,0,0,1,2,69,1,7,0,0,3,9,10,0,0,32,7,0,1,1,0,0,0,3,2,16,18,0,0,0,0,0,1,0,0,17,22,0,4,1,0,0,2,0,2,0,0,0,7
Gene7,1,0,0,0,0,1,0,4,3,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,8,0,0,1,0,0,0,0,6,3,0,1,2,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gene8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene9,10,0,1,0,6,9,0,3,4,8,19,0,0,9,2,5,6,1,1,0,0,1,0,16,0,4,0,0,0,1,1,0,0,1,1,0,2,0,8,0,18,0,15,2,17,3,1,0,0,0,2,0,20,2,0,0,4,0,2,0,13,0,1,1,1,0,0,0,0,3,2,0,1,3,7,0,2,1,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,1,0,8,0,0,0,9
Gene10,0,0,1,4,1,2,0,2,0,39,6,2,0,0,4,0,1,7,0,7,0,0,0,0,0,6,2,0,0,2,0,15,0,0,0,0,4,2,0,3,1,1,12,0,0,0,13,1,1,0,1,1,0,0,0,0,15,3,0,0,0,7,0,3,0,0,2,8,0,3,0,7,0,0,0,0,0,29,0,1,1,0,0,1,0,0,1,1,2,9,1,9,3,0,0,6,0,0,1,2
Gene11,30,0,0,1,3,11,0,6,11,15,28,5,0,6,18,27,9,8,11,9,6,4,2,1,2,38,10,5,0,5,3,6,12,2,0,3,0,0,4,7,16,0,7,0,5,11,29,6,4,2,8,0,18,0,2,11,19,2,7,0,1,4,3,6,8,0,3,11,0,0,10,1,11,2,2,0,0,32,1,0,21,0,0,1,1,5,6,9,32,5,4,2,0,2,4,9,0,4,0,0
Gene12,0,0,0,0,0,0,1,13,9,2,2,1,0,0,0,0,1,21,0,0,0,0,0,2,0,10,2,2,0,0,0,0,6,0,0,0,6,5,0,7,6,1,4,0,3,0,9,3,0,1,0,0,0,0,0,5,56,1,2,0,0,4,0,0,0,1,32,8,0,1,1,2,0,0,0,0,3,49,3,2,0,0,0,1,0,1,4,48,2,3,0,0,0,5,0,3,0,0,1,1
Gene13,0,0,1,6,13,4,0,0,1,16,69,11,0,5,2,2,0,4,0,15,4,0,1,3,0,45,2,0,0,8,2,0,1,0,3,0,3,0,1,1,31,2,30,0,1,9,10,1,2,0,21,0,5,4,0,2,6,0,0,1,12,35,1,0,21,3,13,0,0,9,1,2,14,5,6,0,0,3,2,0,24,1,0,1,19,0,0,1,2,5,6,0,0,0,3,1,0,0,0,2
Gene14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene15,1,0,0,0,0,1,0,1,2,3,3,1,0,0,0,0,5,0,3,4,1,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,5,0,1,0,10,0,3,0,2,1,5,1,0,0,0,0,0,0,0,0,7,2,1,5,0,2,0,1,0,0,1,4,0,0,1,0,0,1,1,0,4,12,0,0,2,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0
Gene16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene17,17,0,0,0,2,6,0,2,5,18,10,0,5,0,0,2,0,10,0,1,1,0,0,0,0,2,0,3,6,5,0,0,13,0,0,3,3,0,2,1,5,0,3,0,2,0,0,1,1,1,3,0,14,0,0,2,0,0,0,0,0,0,3,7,0,6,2,16,0,0,0,0,2,0,0,0,5,7,0,0,7,0,0,0,4,3,0,5,5,0,1,0,0,2,0,8,0,1,0,3
Gene18,0,0,0,0,1,0,0,0,1,11,0,0,1,1,5,0,0,0,1,9,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,14,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,4
Gene19,1,0,0,0,3,2,0,9,0,0,1,0,1,0,4,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,1,0,0,1,1,0,8,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,1,1,0,8,0,4,0,0,12,0,0,0,0,9,0,0,3,0,0,0,0,0,0,5,0,0,1,0,2,0,0,1,0,0,0,0
Gene20,0,0,0,0,5,3,0,0,0,0,0,0,5,1,0,0,2,0,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,1,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1
Gene21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene22,0,2,0,1,4,3,0,4,3,1,5,20,0,1,0,0,0,0,0,1,0,0,1,6,1,4,0,0,0,0,0,12,0,2,0,0,0,1,8,6,3,3,14,1,12,0,2,0,4,0,0,2,1,1,0,9,2,0,4,1,0,18,3,1,2,0,1,1,1,1,5,14,0,1,4,0,0,0,3,0,0,4,0,0,4,0,0,0,2,2,0,0,0,1,1,1,0,0,4,1
Gene23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,8,0,6,0,1,0,0,0,0,0,5,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,3,0,0,0
Gene24,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,2,1,0,1,6,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
Gene25,10,0,0,0,0,3,0,0,1,0,5,4,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,6,3,0,0,0,0,2,0,0,1,4,0,0,0,0,0,9,0,0,0,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Gene26,13,2,0,2,3,43,0,4,1,7,23,2,1,0,0,37,0,5,5,3,6,2,0,1,0,73,0,5,0,0,7,3,2,1,0,12,1,6,0,1,43,0,6,0,0,19,1,1,3,0,11,0,0,1,0,8,13,0,1,4,0,2,2,0,0,5,0,0,0,3,4,1,0,0,3,3,0,1,0,0,10,0,0,0,0,35,0,7,3,0,4,0,3,0,0,35,0,0,0,1
