,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,7,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,1,4,2,6,1,0,0,0,3,0,0,0,17,0,0,0,0,0,4,0,0,0,13,0,3,8,0,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0,4,8,0,0,0,5,0,0,19,0,0,1,0,0,0,0,0,0,6,0,0,10,0,0
Gene3,2,2,0,0,5,6,0,4,0,15,11,10,1,0,0,1,8,0,0,3,2,2,0,0,0,6,0,1,1,11,3,2,2,3,0,2,0,9,1,1,0,0,0,1,0,0,3,2,0,4,14,0,0,0,1,2,0,7,3,8,8,0,1,0,0,0,0,6,0,0,0,0,0,0,1,4,2,16,0,2,5,2,0,2,0,2,0,12,1,1,79,4,0,3,13,0,0,0,1,1
Gene4,0,1,0,2,3,6,0,0,0,20,0,0,0,2,0,6,1,2,0,8,7,0,2,4,0,1,0,6,1,33,1,0,1,4,0,0,1,0,6,0,0,0,0,3,0,9,0,0,0,2,0,1,0,1,0,4,0,0,2,2,0,0,0,2,0,0,1,0,0,4,5,2,2,0,0,1,1,4,0,5,0,2,0,1,2,0,1,6,2,0,15,0,0,0,3,5,0,0,3,4
Gene5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Gene6,0,14,2,15,26,0,0,0,12,47,1,11,1,17,18,1,2,25,12,16,0,2,6,67,8,3,0,8,15,13,3,16,3,20,19,3,1,22,23,3,0,2,0,41,48,5,9,9,0,6,5,2,0,16,15,0,1,1,66,1,3,2,0,11,1,0,9,3,19,0,1,0,0,8,15,1,1,8,24,1,3,0,1,35,84,2,10,1,6,0,25,3,0,3,31,1,0,0,8,5
Gene7,0,0,0,0,0,0,2,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,4,4,7,0,2,0,0,0,0,15,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,2,0,25,0,0,0,0,1,4,0,6,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,3
Gene8,7,2,0,7,2,1,0,0,1,21,3,7,1,22,0,6,58,3,2,17,12,0,1,79,0,4,2,1,1,29,9,26,4,27,6,5,16,6,2,1,4,0,0,64,0,7,16,0,0,2,40,3,3,2,1,4,14,0,24,0,2,0,8,8,1,0,29,0,1,19,10,0,0,0,10,3,22,1,14,9,2,2,3,23,7,7,8,1,14,8,58,6,0,29,5,3,4,0,1,12
Gene9,1,3,1,1,5,23,2,3,0,62,9,5,2,5,2,17,4,12,0,45,12,3,6,4,1,7,0,23,15,128,2,10,0,2,4,1,5,7,1,5,3,2,0,8,3,4,12,1,6,28,3,2,3,0,5,6,1,2,6,7,1,4,6,1,1,6,4,2,2,9,16,0,2,4,1,6,4,0,3,2,7,6,5,5,16,6,6,25,1,11,11,0,4,4,5,3,1,14,0,64
Gene10,3,28,0,0,0,1,1,0,0,44,6,15,1,0,0,9,12,1,0,15,2,4,2,1,2,1,0,6,0,80,0,27,0,2,3,3,1,6,0,13,2,1,0,9,0,5,0,0,0,4,10,1,0,0,0,0,0,0,3,0,1,7,0,0,0,0,5,0,0,10,3,9,2,0,0,0,0,0,0,3,4,5,4,2,21,5,2,7,1,1,14,12,2,1,1,0,0,0,1,8
