,BaseGeneMean,is_outlier,outlier_ratio,gene_mean,prog_gene,prog_genemean,group1_DEratio,group1_genemean,group2_DEratio,group2_genemean,group3_DEratio,group3_genemean,group4_DEratio,group4_genemean,group5_DEratio,group5_genemean,group6_DEratio,group6_genemean,group7_DEratio,group7_genemean,group8_DEratio,group8_genemean,group9_DEratio,group9_genemean,group10_DEratio,group10_genemean
Gene1,0.006024190536053188,False,1.0,0.006024190536053188,False,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,1.0,0.006024190536053188,5.725377338110467,0.034490763975578466
Gene2,0.00796413286469605,False,1.0,0.00796413286469605,False,0.00796413286469605,1.0,0.00796413286469605,1.0,0.00796413286469605,2.654103345137456,0.021137631677308935,1.0,0.00796413286469605,3.007321926227411,0.023950711387388753,1.0,0.00796413286469605,1.0,0.00796413286469605,1.0,0.00796413286469605,1.0,0.00796413286469605,2.1291588850453906,0.016956904250549593
Gene3,0.09920667083108656,False,1.0,0.09920667083108656,False,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656,1.0,0.09920667083108656
Gene4,0.01082002687630964,False,1.0,0.01082002687630964,False,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964,1.059812591399346,0.011467200722792288,1.0,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964,1.0,0.01082002687630964
Gene5,1.6672632595068063e-05,False,1.0,1.6672632595068063e-05,False,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,1.0,1.6672632595068063e-05,4.114758047493027,6.860384914345087e-05,1.0,1.6672632595068063e-05,3.7611531171950707,6.270832405678839e-05
Gene6,0.23574468731482714,False,1.0,0.23574468731482714,False,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714,1.0,0.23574468731482714
Gene7,0.03794292632999172,False,1.0,0.03794292632999172,False,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,1.0,0.03794292632999172,4.772998611698354,0.1811015346968234
Gene8,0.0139561611094717,False,1.0,0.0139561611094717,False,0.0139561611094717,1.0,0.0139561611094717,1.0,0.0139561611094717,1.0,0.0139561611094717,1.0,0.0139561611094717,2.16798262846793,0.03025671484543436,3.0854035779335187,0.04306038942138061,11.360812611927283,0.15855333114657516,1.0,0.0139561611094717,1.0,0.0139561611094717,1.0,0.0139561611094717
Gene9,0.027298345390272705,False,1.0,0.027298345390272705,False,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705,1.0,0.027298345390272705
Gene10,0.00037451998191738656,False,1.0,0.00037451998191738656,False,0.00037451998191738656,1.0,0.00037451998191738656,1.0,0.00037451998191738656,1.0,0.00037451998191738656,6.525425122408359,0.002443902098847639,1.0,0.00037451998191738656,1.0,0.00037451998191738656,3.3710158939381643,0.001262512811640944,1.0,0.00037451998191738656,1.0,0.00037451998191738656,1.0,0.00037451998191738656
Gene11,0.013618609262442448,False,1.0,0.013618609262442448,False,0.013618609262442448,1.0,0.013618609262442448,1.0,0.013618609262442448,1.0,0.013618609262442448,1.536080604126666,0.020919281543217604,1.0,0.013618609262442448,1.0,0.013618609262442448,1.0,0.013618609262442448,1.0,0.013618609262442448,1.6297813464895516,0.022195355341058532,1.0,0.013618609262442448
Gene12,0.015066702824338534,False,1.0,0.015066702824338534,False,0.015066702824338534,1.2405818042648076,0.01869147737413957,1.0,0.015066702824338534,1.0,0.015066702824338534,1.0,0.015066702824338534,2.4742037677673316,0.0372780928958091,1.0,0.015066702824338534,1.0,0.015066702824338534,1.0,0.015066702824338534,1.0,0.015066702824338534,1.0,0.015066702824338534
Gene13,0.0004311215136867863,False,1.0,0.0004311215136867863,False,0.0004311215136867863,1.0,0.0004311215136867863,6.529292022927961,0.0028149182602277617,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863,1.0,0.0004311215136867863
Gene14,0.01978066319437896,False,1.0,0.01978066319437896,False,0.01978066319437896,1.0,0.01978066319437896,6.825469124703871,0.13501230589939986,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896,1.0,0.01978066319437896
Gene15,0.016163368567795613,False,1.0,0.016163368567795613,False,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613,1.0,0.016163368567795613
