,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,2,72,38,25,0,60,40,11,5,10,33,62,5,36,2,32,73,21,92,7,2,25,27,52,3,37,202,0,3,34,10,39,21,7,3,145,15,2,14,4,13,32,37,10,33,18,24,1,42,101,3,19,12,144,5,41,228,10,30,7,5,206,1,98,1,19,15,4,14,15,24,267,18,142,28,16,187,2,30,68,21,146,30,25,62,27,65,13,17,23,15,157,11,56,4,44,223,2,6,12
Gene2,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,1,0,0,2,4,0,0,4,2,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,3,0,0,0,0,0,1,0,5,0,4,1,0,0,0,0,1,0,0,5,18,0,0,0,0,0,0,0,0,0,8,0,1,0,0
Gene3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,18,0,0,0,0,0,0,1,1,4,0,0,14,1,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,18,0,1,0,0,0,1,1,0,4,2,0,9,1,0,0,0,2,0,0,2
Gene4,0,2,0,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,0,3,11,0,0,0,1,1,0,0,0,24,0,0,12,0,0,0,0,0,0,0,0,5,11,0,2,10,0,0,0,0,5,0,0,0,0,1,1,0,3,0,3,0,0,0,1,0,0,0,0,0,1
Gene5,1,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,2,0,0,0,1,0,13,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Gene7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene9,0,0,0,0,0,0,2,20,0,1,0,0,0,1,0,0,4,16,17,0,0,0,0,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,3,1,0,0,0,0,1,61,1,0,0,0,6,0,0,2,2,22,0,0,7,0,0,0,4,0,2,2,0,2,3,1,0,1,0,0,5,16,1,0,0,0,0,2,0,0,47,11,1,0,0,0,0,0,0,0,12,14,0
Gene10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0
