,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19,mix20,mix21,mix22,mix23,mix24,mix25,mix26,mix27,mix28,mix29,mix30,mix31,mix32,mix33,mix34,mix35,mix36,mix37,mix38,mix39,mix40,mix41,mix42,mix43,mix44,mix45,mix46,mix47,mix48,mix49
Gene1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene3,0.0484980842461862,0.2700808163874052,0.3168203053989988,0.24528399737245263,0.302983390491389,0.2428967529795458,0.02943571455815594,0.3311291064848579,0.10711958692386606,0.062188181672694284,0.3621790147008685,0.19764709511560558,0.18431092670274662,0.5269876499177816,0.037277235251762034,0.4772588660110322,0.28030983915958524,0.25367980115624306,0.16981382375061044,0.5106985622674491,0.6434038385344116,0.32609599000040096,0.9965704743837681,0.09802102210434514,0.5393808004263803,0.10713397765528825,0.011579319853246207,0.22344164409020512,0.588517074518255,0.3897007541076135,0.03292205067125173,0.4517879587773394,0.6481293183928735,0.07776398570939558,0.45832533921930596,0.13195103397822627,0.10128145564095109,0.14356611713495754,0.07123543351095978,0.683960562494602,0.39242366525942807,0.2923178121469351,0.8290192403287352,0.07387833022406402,0.45776498942161464,0.9549771899009389,0.5856104643482666,0.09451384339412282,0.20453930133160278,0.5262244933169705
Gene4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene5,0.0934494947435044,0.5131838402088799,0.4107108943127031,0.37851940094745257,0.5038080069251305,0.7351045913531467,0.05633958320050382,0.5096045711653993,0.2282036012624057,0.12346931417800236,0.4468623823503796,0.3442137247052581,0.3596316481068949,0.49148262247354524,0.05261866489221828,0.6796332622516011,0.6982680084286305,0.5061386110680415,0.2949619978471987,0.9688905942966796,1.50199956236984,0.5194124873146162,1.3613559672612052,0.1662623941828312,0.98616578137184,0.16377462786693398,0.01782415736023598,0.22856912480861732,0.6554506442354361,0.6455772685794277,0.04771581976658282,0.4654998689515294,0.7160283648535349,0.08972608809844122,0.4969226348069397,0.34210414658554555,0.34551110426020454,0.3167724763741747,0.07622341461105782,0.8684732503444068,0.5901200024182257,0.5460404332775599,1.0419486829558724,0.08289224879906926,0.6263229237311702,0.730509053207089,0.8061347986458972,0.11680965429417253,0.3089537756288265,1.041264638865158
Gene6,1.0110622736832169,0.8055053746557634,0.26219231349720307,1.411065577874156,1.0517811950530322,1.2481830341649063,0.740286532135304,1.107016559132371,1.2386478508460557,1.0144955108038414,2.653096049844222,0.7574944189462219,0.9153938355010993,2.9055711295218543,0.6112068314818816,0.6182694074329386,4.794836045525609,0.5940918492065388,2.2980006422626436,0.8083257555380702,2.213455446128187,1.9967847145488962,1.7239104308829059,1.5330216062713444,2.356645260053231,0.6478491945426289,2.736020595365604,0.8808481656596601,1.1083802201477773,1.063732163840644,6.6782751087823335,2.9012823895050905,1.9805730324637674,1.936028349824974,1.4888605193865985,0.3814845906542078,3.095581458210006,2.6176106335612648,5.831009894989065,1.0369182053007011,1.453231378251684,0.4552730542871524,2.2319441024745794,0.45752001119075897,2.4774184072248646,0.44932055109953156,4.569197184846335,1.575168145349051,1.2050787738259732,1.4792120152204433
Gene7,0.5381291690043859,0.5701089593025055,0.008824412215146543,0.970616269402893,1.3383978913061547,0.5452947755947128,0.538665673483439,0.42440953303039497,1.3921688503547889,0.5147084340586017,1.7775744008436305,1.0835661525095421,1.0666139818976266,3.4059519547822936,0.6519959336387243,0.08192064344751585,4.377751182204775,0.5809347265228916,0.9748881931567128,0.047434451236065454,1.0909573242605504,1.9540764883378514,0.7029463299953793,1.7377851599815817,1.6364854079318678,0.7590596004975513,1.8157188927116032,0.7104865858474432,0.8418441363636759,0.9298022647373708,5.686469742325125,0.9276267586220611,1.1573689383104988,1.124765994793703,1.471323415104732,0.21470476648490483,2.0808961688374517,1.3206002938494568,3.243771139495727,0.9896769244704491,0.7663594732635821,0.006169896662771489,1.900241717474944,0.26089770419669805,2.332927575411648,0.11246166552818239,3.4035242256302,1.1191456961818302,0.6174574000521368,1.2738391933990916
Gene8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
