,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gene2,4,1,1,0,5,8,17,1,3,8,2,9,4,0,12,14,33,6,11,1,4,3,3,2,3,3,15,0,1,1,2,20,0,3,11,1,0,4,0,1,14,16,0,1,3,13,7,1,13,13,8,6,6,1,5,35,8,28,9,1,0,17,1,0,3,23,127,3,23,14,2,23,6,6,2,16,25,1,5,0,21,3,0,24,15,6,19,6,7,0,3,78,0,0,1,7,44,6,4,0
Gene3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene4,0,0,0,0,0,0,4,1,0,2,0,0,1,4,1,0,1,4,0,0,1,0,2,0,1,2,2,0,0,0,0,8,0,2,2,2,1,0,1,2,0,4,0,0,0,0,1,0,2,2,0,2,0,1,3,2,2,3,2,0,0,0,0,4,2,3,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,2,2,0,0,5,1,0,0,0,6,0,0,0
Gene5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene6,5,32,6,0,56,2,16,19,40,60,4,24,4,4,25,22,21,24,2,26,27,7,5,17,52,18,13,1,41,0,1,240,5,6,29,23,3,15,84,15,35,256,1,4,14,26,23,0,94,43,7,17,13,7,92,9,14,50,112,14,7,2,28,39,15,3,252,6,272,28,1,23,12,15,23,14,39,2,67,3,21,5,4,11,16,0,4,4,13,0,25,22,9,4,21,9,19,1,27,3
Gene7,0,0,0,0,0,4,1,0,2,3,0,0,0,0,1,37,0,1,0,0,0,0,0,0,0,10,0,0,0,0,3,7,0,0,0,22,0,0,1,3,3,2,0,2,1,40,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,2,28,0,0,1,4,0,0,0,2,0,17,1,0,2,0,0,3,0,2,1,4,0,0,4,0,1,0,0,0,0,9,1,0,0,0
Gene8,0,0,0,0,9,0,4,3,0,7,0,7,1,1,2,3,5,9,0,0,0,0,0,3,3,0,0,0,0,0,2,9,0,1,3,0,1,1,0,1,2,1,0,0,2,3,0,0,1,0,0,0,0,0,28,2,1,7,9,0,0,1,4,0,0,4,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,1,0,0,22,0,17,7,0,0,0,0,3,0,1,1,6,0,0,0
Gene9,0,0,2,0,41,0,0,1,2,3,2,0,7,0,5,0,0,0,0,2,1,0,0,50,108,1,0,2,0,0,14,3,0,0,6,0,0,0,0,6,2,13,0,3,9,2,0,0,1,0,0,5,0,24,31,2,0,2,4,1,0,0,0,11,2,3,8,1,5,4,1,0,0,0,17,9,4,1,10,2,12,2,0,24,10,0,1,0,0,0,0,10,0,0,1,0,9,0,0,0
Gene10,11,2,3,0,4,1,0,1,1,7,17,5,4,0,1,5,4,0,0,3,60,0,2,5,2,5,14,0,0,0,19,13,0,3,2,0,1,0,0,8,132,11,1,1,0,2,3,2,8,1,13,2,1,3,0,0,1,11,6,3,6,4,12,0,10,2,15,0,1,7,28,0,2,1,1,0,0,1,0,2,27,0,6,5,0,0,4,2,3,0,13,7,7,0,1,0,1,3,0,5
