,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,1,0,1,0,1,1,0,2,4,0,3,0,6,4,3,0,0,1,10,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,14,10,1,1,6,0,0,2,2,0,0,1,0,0,3,1,0,0,11,0,1,0,2,1,6,0,0,0,1,0,1,3,0,4,2,1,0,3,9,0,2,0,0,0,0,0,3,0,3,0,0,1,0,5,2,0,2,1,0,1
Gene2,0,5,23,0,2,1,0,0,1,30,1,0,11,0,0,0,16,0,7,0,0,0,0,1,5,0,2,1,4,27,0,1,0,3,0,0,0,0,0,4,1,5,10,3,0,0,8,0,12,5,1,2,7,0,2,1,0,0,39,40,4,0,32,0,0,0,6,0,5,18,0,1,5,5,5,0,5,0,5,29,2,2,0,1,0,0,1,6,13,3,0,0,3,1,2,0,9,2,0,2
Gene3,1,14,2,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,25,1,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,2,2,0,1,0,0,0,2,0,0,4,0,0,8,1,2,0,2,4,0,2,0,0,0,0,0,1,1,0,0,11,0,1,1,0,0,0,1,0
Gene4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,1,1,0,8,6,0,0,0,0,1,7,1,20,15,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,2,1,2,0,0,0,5,0,0,0,0,0,10,0,0,0,1,3,0,0,2,0,1,0,0,0,0,3,2,0,20,2,2,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,9,0,0,0,0,3,0
Gene6,1,13,5,6,0,0,0,4,1,0,35,2,0,2,0,0,0,0,0,0,2,5,0,9,0,0,0,4,0,0,1,0,1,15,0,0,0,1,4,0,17,1,0,85,1,1,0,2,1,0,2,0,1,2,2,5,0,1,0,3,5,3,2,2,0,1,4,0,0,1,4,2,1,8,0,7,0,3,0,0,1,1,0,10,0,0,1,1,0,1,3,10,0,3,0,0,0,0,0,0
Gene7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Gene8,1,0,12,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
Gene9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gene10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
