,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,1,0,1,3,4,1,27,0,0,4,0,0,44,1,1,0,5,0,0,4,0,0,15,0,0,0,7,1,0,10,0,5,3,0,0,0,23,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,3,0,1,3,0,0,0,10,0,1,5,0,0,6,0,0,0,0,2,0,0,0,5,0,0,1,0,9,3,0,8,2,2,16,0,0,0,10,2,0,5
Gene3,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene4,0,0,0,0,12,1,1,0,1,0,6,0,2,2,2,0,1,1,0,0,1,0,3,0,1,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,2,0,2,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Gene5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,5,0,1
Gene6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene7,66,1,1,16,77,59,8,0,2,0,28,0,22,19,3,6,15,3,1,0,49,0,4,4,2,13,32,1,0,20,39,5,0,9,3,8,27,2,0,0,29,1,0,8,8,0,8,0,4,0,20,1,0,2,5,36,10,4,0,2,46,1,2,12,28,12,5,9,0,0,41,0,5,1,1,7,0,0,4,1,38,7,5,8,8,0,2,12,0,1,17,1,9,12,9,0,1,6,2,0
Gene8,0,0,0,0,0,7,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gene9,0,12,9,2,6,19,4,0,3,2,6,5,14,4,0,0,7,1,1,6,0,2,16,13,1,1,2,1,6,11,2,12,0,0,0,3,3,0,4,0,0,22,12,1,2,6,0,0,1,0,1,2,2,4,0,2,1,8,0,0,0,5,0,0,2,0,1,0,3,1,0,3,1,3,2,6,2,1,1,5,0,2,1,1,3,3,0,5,4,0,4,7,12,2,0,0,1,14,0,1
Gene10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
