,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
UBE2Q2P2,0,0,0.0596913,0.613015,0,0,0,0.0811149,0
SSX9,0,0,0.212565,0,0,0,0,0,0
CXorf67,0.118865,0.0940057,0.496705,0.19609,0,0.165406,0.157926,0.0867824,0.188464
EFCAB8,0,0.00449917,0.3464,0.385828,0,0.0481871,0.0415714,0,0.0315701
SPATA31B1P,0,0,0,0,0,0,0,0,0
SDR16C6P,0,0,0.287881,0,0,0,0,0,0
GTPBP6,57.280197,60.604133,104.4053,102.1565,52.882543,61.837424,47.350889,72.275326,50.997427
EFCAB12,0.252188,0.050183,0.984864,0.513702,0.17612,0.0447893,0.0983567,0.0957425,0.100608
A1BG,10.863071,15.82718,10.54015,6.647064,9.519831,9.196318,9.537508,14.785649,7.492537
A1CF,0,0,0.269025,0,0,0,0,0,0
RBFOX1,0,0,0.103589,0,0.0258018,0,0.0144094,0,0
GGACT,8.141059,5.510053,3.643988,5.145376,5.365832,6.82359,5.833951,4.428239,6.98213
A2ML1,0.131667,0.5785659,3.243607,0.9566559,0.1670901,0.3047009,0.2116841,0.2932496,0.2513171
A2M,0.4859946,0.3134823,1.0629955,1.476073,0.0939922,0.660909198,0.743592,0.2800457,0.420103
A4GALT,0.0502927,0,0,0.0299605,0.090734,0.204376,0.12306,0.111379,0.190049
A4GNT,0,0,0,0,0,0,0,0,0
NPSR1-AS1,0.087798456,0,0.0587796,0,0,0,0,0,0
AAAS,20.1722,12.6446,28.65795,27.7773,19.8036,16.54001,15.51000002,18.8877,15.8241
AACS,7.1320831,4.99214,6.60528,7.807577,7.097502,6.43779152,5.625469,6.90107,6.57996
AADACL2,0,0,0,0,0,0,0,0,0
AADACL3,0,0.0186056,0.091286,0.113197,0,0,0,0,0
AADACL4,0,0,0,0,0.0173573,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0
AADAT,0,0,0.292706,0.010758747,0,0.107863301,0,0.0337699,0
AAGAB,17.51874,12.432971,18.26294,17.92241,18.84874,15.39944,16.46093,15.920548,20.21104
AAK1,42.4059,109.09852,85.5619978,61.17884,33.10813,60.70887009,34.76793,27.76075759,37.58767
AAMP,61.688552,56.13697391,55.55431,60.73107,57.67196,61.97511,56.9424,72.62883,58.4124
AANAT,0.160753,0.103296,0.52864,1.178223,0.0621465,0.0422982,0.2494412,0.297519,0.207089
AARS2,3.96182,3.30265,8.33704,6.96109,2.08733,3.49611,2.0069,3.26537,3.1996
AARSD1,17.66117503,19.91238852,29.091542,24.9452506,18.81948,19.1036124,15.849796,15.848875,17.0975746
AARS,20.2162,13.61428,20.51645,18.95241,21.6714,17.41615,14.73846,18.04187,18.090146
AASDHPPT,14.57333,6.956544949,7.03878,10.33687,9.60726,10.80579,10.515281,10.07325,12.17084
AASDH,4.868007,3.620016001,5.267384,6.201556467,3.7822459,3.442188,3.1755842,4.023351,4.360297021
AASS,0.7441474,0.794249,4.541978789,2.6128613,0.417459,0.899688628,0.679446936,0.517836,0.729937
AATF,68.5059,53.609,50.8834,60.1745,65.6201,64.0864,56.8644,66.1468,69.1257
AATK,2.322755,3.81105,5.17735,7.51837,2.391677,2.393788,1.824855,0.824365,1.50277
ABAT,4.345965261,2.95113,4.309395,5.704876,2.929168686,2.5492138,2.057031004,2.37726,1.5547368
ABCA10,0.3151028,0.08530316,1.2133695,0.7220022,0.194477,0.311869,0.1120597,0.24886389,0.0872214
ABCA11P,1.2533302,0.323794,1.915838,2.10667073,1.122914931,0.738375,0.7764699,0.862964,1.487591001
ABCA12,0,0,0.0462828,0.0126886,0,0,0,0,0
ABCA13,0.2130107,0.53790589,2.4552836,0.6222457,0.2668124,0.305853,0.24473578,0.1872541,0.1920709
ABCA17P,0.0503437,0,0.20273,0.432484,0,0.0396325,0.0801765,0,0
ABCA1,0.998883,1.15471,1.26128,4.240624,1.37367,0.823681,0.885745,0.824027,0.95589
ABCA2,10.901873,8.3399047,57.68792,52.956795,12.677905,12.141723,9.9807483,7.3995879,16.0817596
ABCA3,1.974947,1.889618,5.784767,4.104397,1.807098,2.921438,2.109363079,1.378043,2.850891
ABCA4,0.00941122,0,0,0,0,0,0,0.00803914,0
ABCA5,1.198856437,1.033045,10.533225,7.920194,0.904471,0.701530907,0.77302825,0.6654037,1.16035769
ABCA6,0.0782829,0.1453442,0.243006,0.310195,0.2076655,0.0538752,0.09077,0.100305,0.264639
ABCA7,19.20535522,28.294731,150.1847,75.11691,17.455426,20.108843,18.319488,24.98153849,22.150703
ABCA8,0.4314,1.81987,7.5726148,2.4246,0.640455,1.53121,1.09713,0.5497928,0.882316
ABCA9,0.1367336,0.5901274,2.91758,1.742932,0.1389138,0.489431,0.334599,0.272248,0.315019
ABCB10,10.4929,6.14737,13.8717,16.7439,12.6249,10.9933,9.9896,10.0751,11.2958
ABCB11,0,0,0.1087003,0,0,0,0,0,0
ABCB1,8.14699,3.85355,8.34942,7.30409,4.90164,5.98052,5.0625,2.73323,6.76247
ABCB4,1.169290946,0.344937,1.490438157,1.202747186,0.663069,0.642351907,0.610904,0.9701069,0.6209913
ABCB5,0.967099,3.769455,16.90409,4.377488,0.9005468,2.361712,1.214665,0.896894,0.9600551
ABCB6,1.0939236,1.05246,2.76719,2.13396,0.769656,0.8476368,0.778744,1.00722,0.755078
ABCB7,17.1915627,10.853094,15.56233842,15.67418385,17.35632,14.26712142,14.13030882,17.039946,16.1456
ABCB8,8.479718,5.128093193,16.41731,18.3159912,10.20294,7.637065127,7.09503786,7.135224777,9.508113
ABCB9,1.880535,2.654855,9.719448,2.697829,1.7956914,1.590017,1.3225283,1.2279442,1.3888313
ABCC10,6.079143,3.914334,14.751974,13.79467,5.35169,6.142391,4.92626,6.146874,5.989773
ABCC11,0.0340003,0,0.2840398,0.0138622,0,0,0,0,0
ABCC12,0,0,0.0230839,0,0,0,0,0,0
ABCC13,0.146195,0.435373,1.564904,0.489073851,0.0298423,0.186493,0.68652718,0.178679,0.172597
ABCC1,22.59837259,13.684251,25.02013721,30.45629683,26.065023,19.87163276,21.96802272,20.24195685,25.288823
ABCC2,0.314784,0.306047,1.4498,1.14552,0.132276,0.0645877,0.189112,0.233818,0.148103
ABCC3,5.195598,7.167432,21.333272,16.149223,5.4954375,6.692532,7.83046,10.892438,8.580506
ABCC4,4.399030607,2.84557069,5.667094404,2.920140438,4.03304,3.508539083,2.8966094,2.490099,4.000825002
ABCC5,9.798462639,4.330093393,14.97415705,14.5757976,7.044854743,5.763430592,7.720742264,7.2123562,7.72414901
ABCC6P2,0,1.05093,0,0,0,0,0,0,0
ABCC6,2.635319,0.72510825,2.243644,3.5414541,3.064408,2.199302,1.986973,2.804285,1.7947693
ABCC8,0,0,0.1194911,0,0.00537052,0,0,0,0
ABCC9,3.78788,8.17632,40.1971744,16.68,3.7317,8.40402,5.59585,2.84171,4.17841
ABCD1,16.917326,17.91813,18.96905,21.901574,19.73188,15.2084,16.842556,24.27378,14.970016
ABCD2,4.76052,2.27097,3.34303,4.40805,4.00587,2.31474,2.31255,3.78408,4.53955
ABCD3,10.7843185,7.396899,13.60177,13.8883531,7.498028074,8.48545,8.050405034,8.115944629,8.235856671
ABCD4,12.556167,8.702435,29.04060002,25.09271,12.4666,11.78877279,10.327676,11.564982,11.88762
ABCE1,25.29869,11.56081,14.6752247,18.1998477,16.5926635,14.16653,13.66805,16.20723,21.166223
ABCF1,33.85062,29.0241101,38.57653114,36.40926239,25.19142001,29.52257303,26.83182,26.41099,30.9877528
ABCF2,26.73,17.91611,23.10923,22.97621,23.45835,20.85794,19.58077,19.90427,21.28109
ABCF3,18.57558,19.24452006,48.98230024,41.41147,13.59943,20.41465,15.094911,16.30247,14.81569
ABCG1,7.939122,11.895506,10.346468,12.16279,7.333848,6.905221281,5.04088,5.387897,4.33845973
ABCG2,0.0945846,0.111831,0.168826,0.0901538,0.72719148,0.2432567,0.2337071,0.4843459,0.4918833
ABCG4,0,0,0,0,0.00743443,0,0,0,0
ABCG5,0.0983267,0.107039,0.9241163,0.214448,0.0276291,0.197007,0.121918,0.15262,0.0205305
ABCG8,0,0,0,0,0,0,0,0,0
ABHD10,13.1091,7.37676,11.66056,11.66991,8.18614,10.27386,6.891177,8.035421,10.56053
ABHD11,12.092013,9.382904298,28.14558209,22.189216,8.095647,12.35156427,7.5012985,11.79027602,10.410663
ABHD12B,0.227562,0.311948,0.932453,0.496783,0.566948,0.47729,0.120097,0.431967,0.416933
ABHD12,31.176323,26.07176001,24.092249,31.785839,31.632087,30.096389,30.661356,33.32621393,30.39722
ABHD13,9.73368,5.7994,10.4697,13.0143,7.65956,9.44995,8.6959,8.42872,9.89718
ABHD14A,27.03134,21.84139,23.3784,19.03884,26.91994,27.35788,19.76464,23.164604,22.36603
ABHD14B,80.412747,63.536216,51.271817,49.902993,67.990086,76.20692,65.421869,70.271483,72.00074
ABHD15,23.0393,14.7252,21.5583,24.6982,17.2678,18.3112,19.655,19.0445,19.836
ABHD1,0.670166,1.698042,10.53794,3.230019,0.830837,1.525594,1.061966,0.619261,1.462908
ABHD2,20.8415685,13.4498,13.0711466,22.2772401,21.048046,15.049898,17.42686,17.2305,20.0674
ABHD3,11.440054,10.465963,48.40003,40.206216,10.436874,14.05375,10.92853508,11.041278,9.518522
ABHD4,10.80187301,5.724653,9.643389,9.450724862,11.039756,9.432240149,7.59342,9.104867,7.020382
ABHD5,3.79535,5.0435,6.67384,9.0785,5.70938,5.40678,5.14228,4.66577,3.54225
ABHD6,4.305788,1.72817,2.74463195,3.174129,1.9014346,2.43722,2.347386,2.73572,3.88779
ABHD8,14.3307,12.2666,11.2646,11.906,14.9598,10.572,10.8254,17.6343,13.1349
ABI1,37.04976852,22.8606837,45.38006445,49.15242004,32.6722805,32.819056,28.77561806,30.22694156,33.97237327
ABI2,6.551129054,4.935473863,10.455323,9.148394001,5.384397,6.30621348,4.335773,5.599812809,6.6768136
ABI3BP,0.0364319,0.1294393,1.2703113,0.3581508,0.243304,0.2356098,0.0687795,0.0770239,0.0254822
ABI3,37.887624,26.4818,39.52094,46.78371,27.3292,51.93022,42.9171,36.65343,46.67079
ABL1,13.78224,9.26132,16.50973,19.581418,12.53718,11.510298,11.5097,10.5353,13.092254
ABL2,4.039784574,4.083374474,10.33758325,6.443126739,3.223947119,3.8008644,2.613789354,2.67461316,3.553390646
ABLIM1,64.2994168,29.95434619,42.3714674,39.0542979,49.331325,29.9135709,26.2948498,39.9152116,49.5954407
ABLIM2,0.670752001,1.1732375,1.650461,1.398593438,0.475402294,0.6956487,0.4567631,0.506882445,0.7227658
ABLIM3,1.08829214,1.193520087,1.6354463,0.944129278,2.032723,0.719206,1.6721507,3.33944105,1.799067
ABO,0.698927,0.4517742,1.268756433,0.511327,0.2452724,0.508598,0.190608345,0.0723343,0.151645
AOC1,0.256728,0.645791,3.49407,1.07842,0.467275,0.568186,0.49761,0.180427,0.3390442
ABRA,0,0,0.282319,0.0390997,0,0.0261182,0.039721,0,0.00673781
ABR,31.31115605,21.396161,54.576798,58.332078,34.4840364,35.27902,27.39523,32.579682,29.72359312
ABT1,26.8279,26.2882,30.1712,31.0197,23.4163,25.9835,27.1744,27.1368,31.9006
ABTB1,73.7072,114.50667,145.89945,108.0993,82.14010008,92.70825,91.07611,72.95851,69.79636182
ABTB2,0.196195,0.27038,0.362826,1.0892,0.232387,0.114914,0.33887,0.408876,0.365678
ACAA1,67.35144,53.66239779,82.729101,82.57324,63.12467,61.46705,63.60178,59.92674,53.268495
ACAA2,38.9164,37.03759,33.67777,33.29477,51.5821,35.24916,49.3051,44.1278,52.8314
ACACA,4.104974997,3.210149307,3.470764,4.494166,3.069695006,2.7073535,3.060160004,3.071089798,3.745449
ACACB,2.910223622,2.275091094,5.741520564,3.273921364,1.364535067,1.991191075,2.01793904,2.04477302,1.650374131
ACAD10,9.197961,5.087358,16.9607946,14.027281,5.756663,7.135905,6.5059059,5.779092,6.4863086
ACAD11,2.534759,1.742604,29.52855,24.493351,1.747925,2.489153,2.087289,1.960363,2.50699
ACAD8,11.647443,6.871804,39.1360361,36.44638,11.127696,10.9357045,9.564168,11.7721319,11.218318
ACAD9,13.5530897,9.05755,25.282826,25.171805,12.44100873,16.60621,10.588289,15.43321938,12.204767
ACADL,0,0,0.0326759,0,0,0,0,0,0
ACADM,19.29886403,11.224609,12.773098,14.781096,17.756588,16.3541761,14.90037,16.0569978,20.96029
ACADSB,9.151744,5.253612,11.67329,10.70530979,7.24908,6.87715,6.87066,7.065650467,8.892653
ACADS,11.845,11.85863,14.2984748,11.70185,11.7245,9.7779103,11.8049,14.6882385,9.48626
ACADVL,68.486863,69.8863403,248.4031229,233.63403,85.125527,77.39505,91.462904,83.241307,84.256276
ACAN,0.1391098,0.43636288,1.51004,0.2226519,0.026265,0.1128791,0.178642,0.086097,0.0610756
ACAP1,107.498,98.0401,230.198,172.735,87.8094,95.428,61.5776,105.123,102.71
ACAP2,29.618707,17.8069,30.77366,41.36276,26.816936,23.170243,21.542615,22.156067,29.700505
ACAP3,13.720511,10.479206,76.3425,64.98929,12.8999275,11.87971,10.1728601,17.3476298,13.290766
ACAT1,15.229956,10.203016,11.969526,15.766503,12.302441,12.940362,14.441195,12.078579,12.678859
ACAT2,16.95115,11.41243,12.426202,11.373793,13.265729,13.99072,13.470427,11.350829,13.2938
ACBD3,20.0959,12.8343,11.9215,18.0415,18.2871,16.8556,16.1098,17.5313,18.2663
ACBD4,7.9580167,7.68468,26.0019519,14.86008,5.219814,6.587315,5.193776569,6.841081,6.088269
ACBD5,10.58426402,6.370730536,19.50928914,20.14983101,6.66621145,10.05563,8.059489594,6.759590493,11.00611476
ACBD6,27.9711,22.442,22.1735,25.447,24.1202,27.9321,22.5701,25.0976,24.9293
ACBD7,0.862474,0.896342,10.31915,2.45062,0.658406,0.683944,0.81764,0.634455,0.829635
ASIC2,0,0,0.0402656,0,0,0,0,0,0
ASIC1,0.437355,0.454649,0.0697224,0.3532005,0.946846,0.363102,0.0293767,0.396653,0.384255
ASIC3,0.559522995,0.323946,4.088505884,3.499949,0.340852098,0.515148,0.233794,0.334725238,0.334278
ASIC4,0.0334746,0.158898,0.8344431,0.38485812,0.0689222,0.0830058,0.0917952,0.0276673,0.0983473
ASIC5,0,0,0,0,0,0,0,0,0
ACCSL,0,0.0198736,0,0,0.0747292,0,0,0,0.0896466
ACCS,2.191354001,1.98914984,16.8797805,77.46025,2.0616767,2.17327,1.5917277,2.731958,2.127289
ACD,16.16159,15.584452,16.99995,16.70414001,16.90781801,14.59061,15.76235,17.95755,15.5328426
ACE2,0,0,0,0,0,0,0,0,0
ACER1,0.790867,0.338794,1.50881,0.824489,0.356704,0.45357,0.128062,0.193912,0.730163
ACER2,0.4807064,0.156946,0.549687,0.855673,0.5484158,0.329742,0.406231,0.53782,0.2917903
ACER3,6.645291687,7.261405565,11.746974,12.28958132,8.242461061,7.063214,6.928228013,7.28006102,7.807548543
ACE,3.430523815,3.620992,10.06010826,4.7743727,3.3523952,3.585992666,2.2712068,1.9431547,3.4038273
ACHE,0.0181127,0,0.128277,0.03506685,0,0,0.0214123,0.0378205,0.0681409
ACIN1,38.80156522,37.96423028,121.3504635,106.2985731,33.78274549,37.605159,34.3995111,41.272376,35.15350439
ACLY,53.52665,29.87823925,36.06637288,46.904898,47.0100971,39.69122274,42.2605802,44.311268,51.8685916
ACMSD,0,0,0.0651401,0.0528182,0,0,0,0,0.0790651
SDHAF3,9.07866,7.39523,4.44979,5.30669,7.92999,8.32178,6.13817,6.22284,8.58261
ACO1,5.298852,2.19892,2.54333,5.53381,4.30641,4.10352,3.73638,4.491,5.68457
ACO2,61.622872,35.4187,32.456407,49.1263,53.25638,45.7312,46.525152,50.2038448,52.9416
ACOT11,0.340072,1.1748096,2.860367,1.7089507,0.608166,0.6995463,0.466069,0.522544,0.4830795
ACOT12,0,0,0,0,0,0,0,0,0
ACOT13,4.480398,3.04215,5.40886,4.465104,3.08213,4.228282,3.20986,3.0990871,3.484137
ACOT1,1.12393,0.47207,0.577371,1.18377,0.812946,0.630794,1.75145,0.792627,0.487032
ACOT2,10.009329,8.56279,13.02596,8.439561,9.78003,9.497606,9.20918,11.049775,10.207979
ACOT4,0.465551,1.34688,1.49225,1.19965,1.90863,2.23959,1.4586,0.941272,1.00422
ACOT6,0,0,0.195171,0,0,0,0,0,0
ACOT7,7.483950218,5.674849,8.022091759,9.31715,9.417503,9.593831108,9.220500001,9.929416,11.77435024
ACOT8,22.127777,15.205433,16.449002,18.444397,22.571961,12.213631,17.853147,22.766484,19.840727
ACOT9,16.703915,15.14239,44.17361029,47.79297815,16.839222,16.75377927,18.58208064,20.701462,19.4566876
ACOX1,5.819826704,4.560900237,9.15472,10.84814,4.484633,4.261323802,4.12946,3.939308,4.411027
ACOX2,0.447032,0.233696,0.0705599,0.469422,0.808452,0.297969,0.372972,0.186974,0.23426
ACOX3,6.33296,4.83899,5.16435,7.421884,7.153516,5.806844,5.849860052,5.577942,8.7370041
ACOXL,0.364604,0.0471621,1.365259,0.3687391,0.1025,0.279664,0.2353886,0.2716461,0.110682
ACP1,76.3869269,49.770153,61.15087,69.66112,78.322829,69.582413,70.3105504,69.583639,85.725326
ACP2,15.12009244,10.497835,12.403702,19.02426989,15.3372466,14.72251203,13.91062238,15.0104373,15.00171035
ACP5,30.499279,22.41300905,41.93055,38.81131,23.16057577,33.231838,18.64982909,25.5964942,21.22783911
ACP6,5.9416861,5.52253,4.785219,5.216537,5.0901609,2.5969437,3.506435,5.859161,5.3604874
PXYLP1,4.8252142,3.819737,5.170699,7.534007,3.025320008,3.974446,3.954009,3.1513,3.893136496
ACPP,8.87085,4.964970472,6.470959,10.633709,9.619280009,5.286170003,7.63384,8.06896,7.56344
ACPT,0.0131879,0.0949112,0.266096,0.0942758,0.0407872,0.0518632,0.102502,0.0851149,0
ACRBP,10.93979,14.73557,22.05602,17.10992,25.27904005,25.50655,20.33527,30.43153083,19.62684865
ACRC,0.56887,1.13599,3.91382,3.04348,0.245299,0.881958,0.524345,0.490087,0.586276
ACRV1,0,0,0.110419,0.141268,0,0,0,0,0
ACR,0,0.399981,0,0.123605,0,0,0,0,0
ACSBG1,0.00761729,0.407237,0.425621,0.571761,0.176689,0.611103,0.315759,0.219784,0.164858
ACSBG2,0.0642403,0,0.123608,0.0250625,0.0433719,0,0.0181663,0,0
ACSF2,10.15958117,12.27636,17.32333022,17.31619061,13.82397246,11.35100425,8.083497,9.304782,8.33225
ACSF3,18.279846,13.26604,19.868524,18.238346,14.812088,12.539504,14.583364,17.1246,14.252565
ACSL1,19.389989,25.046335,39.62447953,58.98725848,30.5051,22.19021078,28.467405,27.62854,22.17361114
ACSL3,10.29998,7.089932,8.19112,10.39368,6.22427,8.31852,6.03696,5.91147,7.93568
ACSL4,22.693,12.306543,12.90086,23.989189,20.639058,18.836426,18.97308,15.501513,22.230493
ACSL5,25.092491,14.3369494,32.35647,39.30031,26.73885,21.9320135,28.14989,21.57588,29.41976
ACSL6,5.647037,1.847456,3.102243157,2.67132729,3.962846259,2.9553014,3.76665,2.935471,4.186360003
ACSM1,0.0341985,0,0.801395,0.207602,0.1567521,0.137048,0.708814,0.330757,0.255526
ACSM2A,0.174522,0.683198,2.768218,0.954869,0.204305,0.6411048,0.125641,0.102634,0.3084284
ACSM2B,0,0,0.112157,0,0,0,0,0,0
ACSM3,3.474383,2.909977,3.065461,3.3776396,2.794375,2.43591,2.982425,3.062148,4.35071
ACSM4,0.131357,0,0.376393,0.252815,0.0781266,0.0635792,0,0.095903,0.0520679
ACSM5,0,0,0.179573,0.0566032,0,0,0,0,0.0223569
ACSS1,31.595979,26.57590318,44.59869114,47.86841484,33.17767302,30.23906996,27.739862,31.541769,26.05796881
ACSS2,19.250336,16.20540999,18.93358,24.51022021,19.177843,11.93687,16.59858,22.222217,15.38166
ACSS3,0.029008637,0.0772003,0.339351,0.056755,0,0.126473,0.00698263,0.0900431,0.0734915
ACTA1,0.313655,0.236546,0.347637,0.699398,0.426253,0.424264,0.430086,0.186604,0.548265
ACTA2,3.165308001,3.629089423,9.9673,5.8501104,8.013825091,4.09494,4.416337,5.8077709,5.366228
ACTBL2,0,0,0,0,0.00964552,0.00981187,0.0161601,0,0
ACTB,7094.58419,7426.038196,5907.1461,6716.902722,7812.009287,7703.1421,7906.977404,7344.780679,6843.35625
ACTC1,0.0256004,0.00482935,0.0813842,0.00559658,0.00801662,0,0.0451839,0.0209077,0.040429
ACTG1,2051.395715,1850.86023,1339.59341,1505.988493,2554.019683,2136.495866,2024.54512,1975.666001,1728.66279
ACTG2,8.97537,6.23328,5.81213,13.9513,0.183831,0.19869,9.68886,7.8416952,0.454475
ACTL6A,16.52501,8.89054,15.10415,16.58921,10.83317,10.87982,9.08646,8.94501,10.05333
ACTL6B,0,0,0.17443,0.0892656,0,0,0,0,0
ACTL7A,0,0.012716,0,0,0,0,0,0.00469557,0
ACTL7B,0.037871,0,0.0979661,0.0451212,0,0,0,0,0
ACTL8,0.0378269,0,0.102744,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0,0.0256976
ACTN1,68.228053,45.013825,41.8780656,50.55567901,58.521994,37.789633,34.391728,55.247513,46.81058
ACTN2,0,0,0.0545594,0.04837912,0,0.059882517,0.004383371,0.01160568,0.005230985
ACTN3,0.0427188,0.081568,0.303059,0.655855,0.0566282,0.0479974,0.173936,0.0463315,0.0251587
ACTN4,126.746356,140.1362,170.408678,160.31027,155.7092,175.224,155.2575,136.2604,148.6713
ACTR10,24.2311358,18.45359718,24.97617,25.05146,21.872,23.069179,19.3268,20.210231,22.522643
ACTR1A,43.43772,35.2854801,35.48581,39.5810101,39.7149,39.62645,40.07050009,38.15181,37.3496001
ACTR1B,43.4953,34.0237,54.6471,57.3658,39.3606,39.2899,36.8567,42.6597,42.6065
ACTR2,297.2924545,171.9711325,156.353751,258.91951,301.889374,269.1284201,279.049681,256.20789,316.105106
ACTR3B,4.214987,3.128476,3.660776,4.6620892,4.180036,3.528364,3.59957,4.24912476,4.41327436
ACTR3C,0.935483,0.275877,1.04862,1.01884,0.324527,1.20418,0.666753,1.00242,0.570898
ACTR3,198.08747,116.6599057,99.8562382,128.8196,163.5550517,157.0231004,133.7467,136.1760857,169.63518
ACTR5,7.07174,4.68533,13.7529,14.1321,4.10631,5.58428,5.62054,5.88029,5.3935
ACTR6,18.5408908,12.150336,15.522415,16.405319,14.05996401,14.185165,12.17845,14.264374,15.616941
ACTR8,8.681372,4.234162,6.139635,9.8480778,8.56834,6.06641,5.916061,5.306765,8.20623
ACTRT1,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0
ACVR1B,7.189263,4.1784441,6.350387,9.209538,5.027744,4.7250593,5.1744706,6.291944,5.323246
ACVR1C,0.26953,0.372758,0.683062822,0.452815,0.167097002,0.247242003,0.270902609,0.251994,0.352311008
ACVR1,9.74942,5.83227,8.44127,8.83059,8.76286,5.78764,8.071593,8.50452,8.32484
ACVR2A,3.286925802,1.852241,5.444597,5.260680009,2.849447,2.5883161,2.594629,1.87808608,2.35226182
ACVR2B,1.740148005,0.566570619,1.395653,0.817027295,0.820192158,0.561409706,0.687581,0.40885791,0.539084
ACVRL1,1.18586,1.113903,1.04298,1.69663,1.625226,0.5485982,0.7978124,0.941186806,0.302259
ACY1,11.73945,7.224975,11.95209586,10.70863746,6.983476,9.9532529,8.55027,9.969262,8.106461
ACY3,0.849056,0.774374,1.61539,2.85533,1.31297,2.05727,1.78581,1.79888,1.35489
ACYP1,11.385503,10.2061,13.7043,13.54391,8.62007,8.20161,8.56713,8.48783,7.89544
ACYP2,8.90272,7.48477,5.99003,8.29059,8.97457,5.84095,7.15818,10.506,8.72314
ADAD1,0,0,0.0816591,0,0,0,0,0,0
ADAD2,0,0,0.0402655,0.0204306,0,0,0,0.279522,0
ADAL,3.17934,2.643711,4.482304,3.55978,3.5930979,1.264079,3.31264,2.123231,2.636353
ADAM10,47.29835501,20.8348487,27.25451705,43.59140069,46.23235764,39.7942546,39.351456,30.584735,47.36839145
ADAM11,0.08624199,0.0682055,0.3294926,0.3556817,0.02434866,0,0.0515623,0,0
ADAM12,1.4020544,0.741517,1.15665508,0.967198,0.511147,0.726233,0.692853,0.880080047,1.1951498
ADAM15,50.72163622,40.6685183,58.994584,66.88336801,53.768151,43.3381936,43.176693,48.9099725,32.53770764
ADAM17,15.493183,12.584342,24.1245432,23.957123,13.13027,13.002967,13.4764736,12.842532,17.3167229
ADAM18,0,0,0,0,0,0,0,0,0
ADAM19,15.16193,6.81503,15.944194,23.287144,13.348027,9.33833,9.6395941,13.0554097,9.226331
ADAM20,0.018726,0,0.174388,0.052059,0,0.0687332,0,0,0
ADAM21P1,0.0470435,0,0.146188,0,0,0.0740808,0,0,0
ADAM21,0.0472638,0,0.0225515,0,0,0,0.0627392,0,0
ADAM22,0.510747005,0.33757,0.8378926,0.6249158,0.564152002,0.60846988,0.625543,0.271070001,0.681849005
ADAM23,1.148669,1.18097,0.965634396,0.772282,1.070185,0.188527,0.438647,0.65,0.919111
ADAM28,6.27449,3.151063,12.103065,12.22039,5.422287,3.909693015,2.9485105,3.98414131,4.263646
ADAM29,0,0,0.206462,0.0726398,0.0599963,0,0.0335059,0,0
ADAM2,0,0,0,0,0,0,0,0,0
ADAM30,0,0,0,0.0140248,0,0,0,0,0
ADAM32,0,0.151771,0.3012715,0.0837936,0,0,0,0.0121366,0
ADAM33,0.395635,1.708413,7.4056626,2.591208071,0.5587566,0.5169987,0.7126866,0.0997978,0.3228253
ADAM3A,0.332634,1.46453,4.181323,3.06637,0.459925,0.934242,1.1073,0.583309,0.490845
ADAM6,53.3993,18.4501,19.3091,23.5856,107.072,21.377,21.0261,42.6944,33.3957
ADAM7,0,0,0,0,0,0,0,0,0
ADAM8,65.515861,59.972003,186.16416,142.6171,71.770194,70.7378832,75.911464,71.774727,76.852477
ADAM9,7.845274947,2.838333,5.224790831,11.80932302,10.049231,6.209267829,6.441544179,5.618283,8.874451538
ADAMDEC1,0.684937,0.169516,0.292469,0.261927,0.315675,0.16056,0.154308,0.531376,0.258933
ADAMTS10,1.747824,3.80358,18.35771,21.43088,1.985068,2.739783,1.536969,1.476961,3.110854
ADAMTS12,0,0,0.0514138,0,0,0,0,0,0
ADAMTS13,0.44169,0.5075454,5.834964,2.787967748,0.2505044,0.975187,0.6095521,0.5815175,0.6041922
ADAMTS14,0.103143544,0.0512276,0.7050517,0.06837682,0.010844274,0.09027153,0.06233352,0.101263,0.04827239
ADAMTS15,0,0,0,0.0218254,0,0.0432239,0.0421863,0,0
ADAMTS16,0,0,0.409381,0.07798656,0.0402088,0.0204511,0.02284476,0.00493576,0.0384735
ADAMTS17,0.6760369,0.792336,1.4685967,0.657515,0.291455,0.297593,0.360954,0.276159,0.496117
ADAMTS18,0.0611407,0.0710035,0.755418,0.1127407,0.02797281,0.214727,0.07395634,0.03019854,0.00783115
ADAMTS19,0,0,0.00712561,0,0,0,0,0,0
ADAMTS1,0.825973,0.990732,0.750717,1.01513,0.310688,1.23785,1.47482,0.247191,1.46092
ADAMTS20,0,0,0.0046742,0,0,0,0,0,0
ADAMTS2,0.911254,0.262153,1.21739291,0.377935,0.213079,0.0990964,0.383346,0.2695702,0.1942042
ADAMTS3,0,0.00914541,0,0,0,0,0,0,0
ADAMTS4,0.634175,1.13972,5.8665,1.17829,0.497538,0.672722,0.454825,0.235121,0.345985
ADAMTS5,0.332918,0.283708,0.174083,0.301202,0.297329,0.100819,0.0968613,0.166945,0.188983
ADAMTS6,0.2546837,0.148702,0.574099429,0.6164603,0.04953247,0.1194677,0.2674005,0.198937,0.163722
