,Cell377,Cell622,Cell124
Gene1,0.0,2.54689674969562,0.0
Gene2,3.11091729670398,1.25462065046541,1.02295498047652
Gene3,22.4073031672166,7.9071797059785,6.44711918200377
Gene4,1471.50841579677,412.246344044679,310.269293076307
Gene5,5.45695098684369,15.4053673581995,0.0
Gene6,33.0433183604578,0.0,19.0147123059814
Gene7,21.2204132590933,6.6563068427628,5.42721995996023
Gene8,13.7504566139225,31.0548269157878,18.990415459181
Gene9,5.18795099243377,7.32298045808591,0.0
Gene10,25.1939606025328,12.3694562012905,12.6067955503148
Gene11,16.6451776427777,0.0,9.57843460837528
Gene12,47.484202299198,25.134625838695,20.4935178410853
Gene13,0.0,0.0,14.743947557892
Gene14,34.0331225847181,23.4336504399641,24.8386157562759
Gene15,4844.55982054234,3404.58618616209,4318.11245718491
Gene16,3.46908682980521,9.7934830529882,0.0
Gene17,202.338549484548,128.232244333869,285.147719461916
Gene18,7.0827823690582,46.6554828899925,0.0
Gene19,3.44245276585277,0.0,0.0
Gene20,0.0,0.0,0.0
Gene21,10.7884380557971,8.12174426690801,8.27758050302716
Gene22,224.724795412859,120.840829078637,64.0429225664996
Gene23,3.70051834458588,20.8936619190986,4.2589119493223
Gene24,0.0,0.0,0.0
Gene25,0.0,2.03861122200842,0.0
Gene26,12.8644439283392,18.1586278723069,7.40281885751897
Gene27,0.0,0.0,2.09771611596024
Gene28,21.4878341574596,36.3970260747237,19.7842107805579
Gene29,14.2060823050241,10.0261994819701,0.0
Gene30,83.5778099020554,57.675738476711,25.6504990306439
Gene31,30.0123849130777,9.41412594681419,23.0274235177488
Gene32,3.21803449343772,13.6271162217566,0.0
Gene33,10.322405128111,43.7113445041286,17.820022947668
Gene34,8.68531666348325,12.2596385917552,19.9917932988365
Gene35,97.8282486005068,84.9772991059284,121.250925371195
Gene36,0.0,3.02583510262643,4.93422946160527
Gene37,265.974406031138,291.151729723591,302.985333421699
Gene38,11.3361598167605,13.5769450943361,18.9770786418376
Gene39,51.1459474622422,38.5036558052844,78.4848919431511
Gene40,67.2776856306357,39.8618042078018,66.9144887622759
Gene41,10.3614513648405,0.0,13.6285182378313
Gene42,35.6564193043597,55.3633579744969,24.6220993014498
Gene43,5.20363024470781,0.0,0.0
Gene44,23.1541168475251,28.7609285423929,11.7251119231364
Gene45,4.67955616022602,2.64214510613754,28.0055500664777
Gene46,0.0,0.0,0.0
Gene47,3.09201836558535,7.48199271743767,5.08370246639407
Gene48,61.192324469854,74.0358678238085,0.0
Gene49,51.4564384530732,69.4746837284955,92.6937576196783
Gene50,296.433830218792,963.171751690506,759.573847161253
Gene51,7.47299121253872,0.0,0.0
Gene52,196.388950161991,127.943125818121,336.137166598267
Gene53,0.0,0.0,0.0
Gene54,76.682475150041,120.266763382302,68.6416560889981
Gene55,15.3583834624963,0.0,11.7839352508366
Gene56,38.3558146067,82.293741684776,130.66492446515
Gene57,66.1035516522493,50.541591706527,9.50978956895002
Gene58,0.0,0.0,0.0
Gene59,0.528697422917154,0.0,0.0
Gene60,122.285310750634,69.0440555235668,56.2950724937693
Gene61,12.9912764741116,14.2626217982955,36.5483770449153
Gene62,7.96234357828764,5.61956796714195,0.0
Gene63,138.053679768478,129.91184131408,89.6276812071853
Gene64,7.90095987228763,3.18642588948704,2.59805243310871
Gene65,0.711713448813211,0.0,0.0
Gene66,104.754142306737,67.2110275008173,87.6808208752512
Gene67,3.63550923853235,3.42110185026682,18.1310706455158
Gene68,103.003042607083,107.13133048493,143.502804442555
Gene69,112.526714130467,91.9574102185095,27.2645370360578
Gene70,0.0,0.0,0.0
Gene71,25.8769328142873,15.6540970956902,12.7635684802088
Gene72,13.9392582202795,0.0,19.2511646869885
Gene73,9.08877309633087,5.13165277540024,8.36818645177651
Gene74,0.0,0.0,0.0
Gene75,87.9268127906506,184.166009989061,78.3442231858465
Gene76,39.5100737004717,0.0,8.26763414461231
Gene77,52.4079903217001,0.0,0.0
Gene78,13.9032394651883,61.6783367910785,36.5741334769413
Gene79,4.00338814957431,11.3018543267743,46.0748361184123
Gene80,3.80558509762505,0.0,7.5082849036855
Gene81,0.815977202461006,0.0,1.87820987998624
Gene82,3.69924625165203,15.6648596237725,4.25744790258826
Gene83,46.2346180281665,73.4195649498723,39.9084294800083
Gene84,31.1014663180802,52.6810134630683,85.9069314355785
Gene85,174.127950583426,311.331339901305,293.92465034503
Gene86,5.47174949799445,0.0,0.0
Gene87,40.9375120950637,65.4894160938727,18.8459284026821
Gene88,13.426210038747,0.0,23.1782581696118
Gene89,210.229203341749,176.193011043046,45.3659924858214
Gene90,1956.56497201014,1578.14984053867,1696.16322318889
Gene91,0.0,0.0,0.0
Gene92,4.41753175125441,0.0,0.0
Gene93,1.4306178338282,0.0,0.0
Gene94,0.0,0.0,0.0
Gene95,14.5518692982498,5.13512245273316,25.1215333643595
Gene96,2.67822482480233,0.0,0.0
Gene97,0.0,2.6979915124662,0.0
Gene98,41.2063753097981,24.6757589942662,22.9935779969909
Gene99,40.270256180666,113.685846101174,46.3468788098391
Gene100,1.62948324440578,0.0,0.0
Gene101,58.5904211219006,0.0,134.862968587614
Gene102,0.0,0.0,3.16506924319684
Gene103,14.3961302288371,0.0,24.8526741444065
Gene104,12.168609889999,8.58821648050398,11.6706708901519
Gene105,64.9357525645964,128.644439679735,65.5564045555221
Gene106,38.1464280257205,37.6915439582747,8.78051467467511
Gene107,0.0,5.41715128929554,0.0
Gene108,0.0,4.68528445872446,0.0
Gene109,0.0,0.0,0.0
Gene110,0.0,16.6007565193275,0.0
Gene111,633.976757794349,598.80521216234,683.530183761403
Gene112,33.8197028235814,63.6503115871254,40.7764368257772
Gene113,0.0,0.0,0.0
Gene114,1.96155802881075,0.0,0.0
Gene115,27.6819644001053,11.5775093103542,16.5195144131869
Gene116,269.500491531273,240.258752085523,152.362762109674
Gene117,2736.36294934501,3277.00533336158,2386.8146367808
Gene118,0.0,0.0,0.0
Gene119,19.0799775639286,10.772831358287,35.1345133294447
Gene120,1.9209402617022,0.0,0.0
Gene121,635.883615903294,414.264333141401,350.280451072342
Gene122,2.8155696876127,15.8971137783199,19.4425682082092
Gene123,64.6136358114701,99.4958005361443,81.1239035936413
Gene124,56.2488459774231,64.5102903617776,48.5524310302355
Gene125,0.0,0.0,5.22460069547743
Gene126,7.23679041429439,10.2149914022762,0.0
Gene127,88.504511312505,66.1379922286707,35.9504091397075
Gene128,10.2267591789553,39.6974612418702,5.88496837663542
Gene129,8.24816608026757,11.6425847331513,3.16426058983884
Gene130,79.3080228175458,76.9629729926447,45.6376451354371
Gene131,25.1748576789905,0.0,26.339676624052
Gene132,0.0,0.0,0.0
Gene133,99.751837758382,76.8018145711586,62.620361538013
Gene134,19.6609756627084,6.16715071668076,10.0567729992929
Gene135,158.251578618467,76.2753554564512,66.6333354481487
